Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
0524/Blank,Blank,5/24/21,R,484K,,,0,0,0,,,16462,0,0524.Blank-3,,,Composite,,,,C1,,
0524/Blank,Blank,5/24/21,R,E484 wild-type,,,0,0.47,0,,,16462,0,0524.Blank-3,,Negative,Composite,,,,C1,,
0524/Blank,Blank,5/24/21,R,417T,,,0,0,0,,,16462,0,0524.Blank-3,,,Composite,,,,C1,,
0524/Blank,Blank,5/24/21,R,K417 wild-type,,,0,0.47,0,,,16462,0,0524.Blank-3,,Negative,Composite,,,,C1,,
0524/Blank,Blank,5/24/21,R,417N,,,0,0,0,,,16462,0,0524.Blank-3,,,Composite,,,,C1,,
0524/Blank,Blank,5/24/21,R,484K,,,0,0,0,,,15425,0,0524.Blank-4,,,Composite,,,,D1,,
0524/Blank,Blank,5/24/21,R,E484 wild-type,,,0,0.5,0,,,15425,0,0524.Blank-4,,Negative,Composite,,,,D1,,
0524/Blank,Blank,5/24/21,R,417T,,,0,0,0,,,15425,0,0524.Blank-4,,,Composite,,,,D1,,
0524/Blank,Blank,5/24/21,R,K417 wild-type,,,0,0.5,0,,,15425,0,0524.Blank-4,,Negative,Composite,,,,D1,,
0524/Blank,Blank,5/24/21,R,417N,,,0,0,0,,,15425,0,0524.Blank-4,,,Composite,,,,D1,,
0524/DI,DI,5/24/21,R,484K,,50,0,0,0,0,,16307,0,0524.DI-3,,,Composite,,,,A1,,
0524/DI,DI,5/24/21,R,E484 wild-type,,50,0,0.48,0,0,,16307,0,0524.DI-3,1699.7,Negative,Composite,,,,A1,1585.22,0
0524/DI,DI,5/24/21,R,417T,,50,0,0,0,0,,16307,0,0524.DI-3,,,Composite,,,,A1,,
0524/DI,DI,5/24/21,R,K417 wild-type,,50,0,0.48,0,0,,16307,0,0524.DI-3,1550.84,Negative,Composite,,,,A1,1585.22,0
0524/DI,DI,5/24/21,R,417N,,50,0,0,0,0,,16307,0,0524.DI-3,,,Composite,,,,A1,,
0524/DI,DI,5/24/21,R,484K,,50,0,0,0,0,,15729,0,0524.DI-4,,,Composite,,,,B1,,
0524/DI,DI,5/24/21,R,E484 wild-type,,50,0,0.49,0,0,,15729,0,0524.DI-4,1699.7,Negative,Composite,,,,B1,1643.48,0
0524/DI,DI,5/24/21,R,417T,,50,0,0,0,0,,15729,0,0524.DI-4,,,Composite,,,,B1,,
0524/DI,DI,5/24/21,R,K417 wild-type,,50,0,0.49,0,0,,15729,0,0524.DI-4,1550.84,Negative,Composite,,,,B1,1643.48,0
0524/DI,DI,5/24/21,R,417N,,50,0,0,0,0,,15729,0,0524.DI-4,,,Composite,,,,B1,,
0526/NTC,NTC,5/26/21,R,484K,,,0,0,0,,,15150,0,0526.NTC-1,,,Composite,,,,G10,,
0526/NTC,NTC,5/26/21,R,E484 wild-type,,,0,0,0,,,15150,0,0526.NTC-1,,,Composite,,,,G10,,
0526/NTC,NTC,5/26/21,R,417T,,,0,0,0,,,15150,0,0526.NTC-1,,,Composite,,,,G10,,
0526/NTC,NTC,5/26/21,R,K417 wild-type,,,0,0,0,,,15150,0,0526.NTC-1,,,Composite,,,,G10,,
0526/NTC,NTC,5/26/21,R,417N,,,0,0,0,,,15150,0,0526.NTC-1,,,Composite,,,,G10,,
0526/NTC,NTC,5/26/21,R,484K,,,0,0,0,,,15414,0,0526.NTC-2,,,Composite,,,,H10,,
0526/NTC,NTC,5/26/21,R,E484 wild-type,,,0,0,0,,,15414,0,0526.NTC-2,,,Composite,,,,H10,,
0526/NTC,NTC,5/26/21,R,417T,,,0,0,0,,,15414,0,0526.NTC-2,,,Composite,,,,H10,,
0526/NTC,NTC,5/26/21,R,K417 wild-type,,,0,0,0,,,15414,0,0526.NTC-2,,,Composite,,,,H10,,
0526/NTC,NTC,5/26/21,R,417N,,,0,0,0,,,15414,0,0526.NTC-2,,,Composite,,,,H10,,
0526/stdBJ,stdBJ,5/26/21,R,484K,,,39.07,44.15,34,,,15354,228,0526.stdBJ-1,,,Composite,,,,A10,,
0526/stdBJ,stdBJ,5/26/21,R,E484 wild-type,,,0,0,0,,,15354,0,0526.stdBJ-1,,,Composite,,,,A10,,
0526/stdBJ,stdBJ,5/26/21,R,417T,,,42.35,47.64,37.08,,,15354,247,0526.stdBJ-1,,,Composite,,,,A10,,
0526/stdBJ,stdBJ,5/26/21,R,K417 wild-type,,,0,0,0,,,15354,0,0526.stdBJ-1,,,Composite,,,,A10,,
0526/stdBJ,stdBJ,5/26/21,R,417N,,,0,0,0,,,15354,0,0526.stdBJ-1,,,Composite,,,,A10,,
0526/stdBJ,stdBJ,5/26/21,R,484K,,,33.55,38.45,28.67,,,14244,181,0526.stdBJ-2,,,Composite,,,,B10,,
0526/stdBJ,stdBJ,5/26/21,R,E484 wild-type,,,0,0,0,,,14244,0,0526.stdBJ-2,,,Composite,,,,B10,,
0526/stdBJ,stdBJ,5/26/21,R,417T,,,37.29,42.45,32.14,,,14244,201,0526.stdBJ-2,,,Composite,,,,B10,,
0526/stdBJ,stdBJ,5/26/21,R,K417 wild-type,,,0,0,0,,,14244,0,0526.stdBJ-2,,,Composite,,,,B10,,
0526/stdBJ,stdBJ,5/26/21,R,417N,,,0,0,0,,,14244,0,0526.stdBJ-2,,,Composite,,,,B10,,
0526/stdMix,stdMix,5/26/21,R,484K,,,111.39,119.89,102.92,,,16716,662,0526.stdMix-1,,,Composite,,,,E10,,
0526/stdMix,stdMix,5/26/21,R,E484 wild-type,,,124.5,133.47,115.56,,,16716,743,0526.stdMix-1,,Positive,Composite,,,,E10,,
0526/stdMix,stdMix,5/26/21,R,417T,,,51.87,57.71,46.05,,,16716,304,0526.stdMix-1,,,Composite,,,,E10,,
0526/stdMix,stdMix,5/26/21,R,K417 wild-type,,,130.86,140.06,121.69,,,16716,780,0526.stdMix-1,,Positive,Composite,,,,E10,,
0526/stdMix,stdMix,5/26/21,R,417N,,,67.03,73.66,60.42,,,16716,394,0526.stdMix-1,,,Composite,,,,E10,,
0526/stdMix,stdMix,5/26/21,R,484K,,,99.35,108.1,90.63,,,13991,497,0526.stdMix-2,,,Composite,,,,F10,,
0526/stdMix,stdMix,5/26/21,R,E484 wild-type,,,119.78,129.37,110.23,,,13991,602,0526.stdMix-2,,Positive,Composite,,,,F10,,
0526/stdMix,stdMix,5/26/21,R,417T,,,52.24,58.62,45.87,,,13991,258,0526.stdMix-2,,,Composite,,,,F10,,
0526/stdMix,stdMix,5/26/21,R,K417 wild-type,,,129.37,139.35,119.44,,,13991,649,0526.stdMix-2,,Positive,Composite,,,,F10,,
0526/stdMix,stdMix,5/26/21,R,417N,,,57.64,64.34,50.96,,,13991,285,0526.stdMix-2,,,Composite,,,,F10,,
0526/stdSA,stdSA,5/26/21,R,484K,,,49.16,54.82,43.5,,,15475,290,0526.stdSA-1,,,Composite,,,,C10,,
0526/stdSA,stdSA,5/26/21,R,E484 wild-type,,,0,0,0,,,15475,0,0526.stdSA-1,,,Composite,,,,C10,,
0526/stdSA,stdSA,5/26/21,R,417T,,,0,0,0,,,15475,0,0526.stdSA-1,,,Composite,,,,C10,,
0526/stdSA,stdSA,5/26/21,R,K417 wild-type,,,0,0,0,,,15475,0,0526.stdSA-1,,,Composite,,,,C10,,
0526/stdSA,stdSA,5/26/21,R,417N,,,53.61,59.53,47.7,,,15475,316,0526.stdSA-1,,,Composite,,,,C10,,
0526/stdSA,stdSA,5/26/21,R,484K,,,26.1,31,21.2,,,11009,109,0526.stdSA-2,,,Composite,,,,D10,,
0526/stdSA,stdSA,5/26/21,R,E484 wild-type,,,0,0,0,,,11009,0,0526.stdSA-2,,,Composite,,,,D10,,
0526/stdSA,stdSA,5/26/21,R,417T,,,0,0,0,,,11009,0,0526.stdSA-2,,,Composite,,,,D10,,
0526/stdSA,stdSA,5/26/21,R,K417 wild-type,,,0,0,0,,,11009,0,0526.stdSA-2,,,Composite,,,,D10,,
0526/stdSA,stdSA,5/26/21,R,417N,,,30.68,36,25.37,,,11009,128,0526.stdSA-2,,,Composite,,,,D10,,
69th Street,69,5/24/21,R,484K,,50,0,0,0,0,,16120,0,0524.69-1,,,Composite,,,,E2,,
69th Street,69,5/24/21,R,E484 wild-type,,50,0.16,0.77,0.01,535.65,,16120,1,0524.69-1,1699.7,Negative,Composite,,,,E2,2558.57,22.5
69th Street,69,5/24/21,R,417T,,50,0,0,0,0,,16120,0,0524.69-1,,,Composite,,,,E2,,
69th Street,69,5/24/21,R,K417 wild-type,,50,0.32,1.03,0.05,1071.33,,16120,2,0524.69-1,1550.84,Negative,Composite,,,,E2,3431.95,162.3
69th Street,69,5/24/21,R,417N,,50,0,0,0,0,,16120,0,0524.69-1,,,Composite,,,,E2,,
69th Street,69,5/24/21,R,484K,,50,0,0,0,0,,15616,0,0524.69-2,,,Composite,,,,F2,,
69th Street,69,5/24/21,R,E484 wild-type,,50,0,0.5,0,0,,15616,0,0524.69-2,1699.7,Negative,Composite,,,,F2,1655.48,0
69th Street,69,5/24/21,R,417T,,50,0,0,0,0,,15616,0,0524.69-2,,,Composite,,,,F2,,
69th Street,69,5/24/21,R,K417 wild-type,,50,0.17,0.79,0.01,552.53,,15616,1,0524.69-2,1550.84,Negative,Composite,,,,F2,2639.19,23.21
69th Street,69,5/24/21,R,417N,,50,0,0,0,0,,15616,0,0524.69-2,,,Composite,,,,F2,,
Almeda Sims,AS,5/24/21,R,484K,,50,0,0.85,0,0,,9156,0,0524.AS-1,,,Composite,,,,A3,2824.13,0
Almeda Sims,AS,5/24/21,R,E484 wild-type,,50,0,0.85,0,0,,9156,0,0524.AS-1,1699.7,Negative,Composite,,,,A3,2823.82,0
Almeda Sims,AS,5/24/21,R,417T,,50,0,0.85,0,0,,9156,0,0524.AS-1,,,Composite,,,,A3,2824.13,0
Almeda Sims,AS,5/24/21,R,K417 wild-type,,50,0.28,1.35,0.01,942.43,,9156,1,0524.AS-1,1550.84,Negative,Composite,,,,A3,4501.96,39.58
Almeda Sims,AS,5/24/21,R,417N,,50,0,0,0,0,,9156,0,0524.AS-1,,,Composite,,,,A3,,
Almeda Sims,AS,5/24/21,R,484K,,50,0,0.55,0,0,,14088,0,0524.AS-2,,,Composite,,,,B3,1834.94,0
Almeda Sims,AS,5/24/21,R,E484 wild-type,,50,0,0.55,0,0,,14088,0,0524.AS-2,1699.7,Negative,Composite,,,,B3,1834.94,0
Almeda Sims,AS,5/24/21,R,417T,,50,0,0.55,0,0,,14088,0,0524.AS-2,,,Composite,,,,B3,1834.94,0
Almeda Sims,AS,5/24/21,R,K417 wild-type,,50,0,0.55,0,0,,14088,0,0524.AS-2,1550.84,Negative,Composite,,,,B3,1834.94,0
