Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
0621/Blank,Blank,06/21/21,R,L452R,,,0,0.47,0,,,16415,0,0621.Blank-3,,Negative,Composite,,,,C1,,
0621/Blank,Blank,06/21/21,R,E484Q,,,0,0.47,0,,,16415,0,0621.Blank-3,,Negative,Composite,,,,C1,,
0621/Blank,Blank,06/21/21,R,L452wt,,,0,0.47,0,,,16415,0,0621.Blank-3,,Negative,Composite,,,,C1,,
0621/Blank,Blank,06/21/21,R,E484wt,,,0,0.47,0,,,16415,0,0621.Blank-3,,Negative,Composite,,,,C1,,
0621/Blank,Blank,06/21/21,R,L452R,,,0,0.46,0,,,16834,0,0621.Blank-4,,Negative,Composite,,,,D1,,
0621/Blank,Blank,06/21/21,R,E484Q,,,0,0.46,0,,,16834,0,0621.Blank-4,,Negative,Composite,,,,D1,,
0621/Blank,Blank,06/21/21,R,L452wt,,,0,0.46,0,,,16834,0,0621.Blank-4,,Negative,Composite,,,,D1,,
0621/Blank,Blank,06/21/21,R,E484wt,,,0,0.46,0,,,16834,0,0621.Blank-4,,Negative,Composite,,,,D1,,
0621/DI,DI,06/21/21,R,L452R,,50,0,0.47,0,0,,16354,0,0621.DI-3,1591.73,Negative,Composite,,,,A1,1580.67,0
0621/DI,DI,06/21/21,R,E484Q,,50,0,0.47,0,0,,16354,0,0621.DI-3,2333.33,Negative,Composite,,,,A1,1580.67,0
0621/DI,DI,06/21/21,R,L452wt,,50,0,0.47,0,0,,16354,0,0621.DI-3,1347.23,Negative,Composite,,,,A1,1580.67,0
0621/DI,DI,06/21/21,R,E484wt,,50,0,0.47,0,0,,16354,0,0621.DI-3,1643.27,Negative,Composite,,,,A1,1580.67,0
0621/DI,DI,06/21/21,R,L452R,,50,0,0.47,0,0,,16377,0,0621.DI-4,1591.73,Negative,Composite,,,,B1,1578.45,0
0621/DI,DI,06/21/21,R,E484Q,,50,0,0.47,0,0,,16377,0,0621.DI-4,2333.33,Negative,Composite,,,,B1,1578.45,0
0621/DI,DI,06/21/21,R,L452wt,,50,0,0.47,0,0,,16377,0,0621.DI-4,1347.23,Negative,Composite,,,,B1,1578.45,0
0621/DI,DI,06/21/21,R,E484wt,,50,0,0.47,0,0,,16377,0,0621.DI-4,1643.27,Negative,Composite,,,,B1,1578.45,0
0623/NTC,NTC,06/23/21,R,L452R,,,0,0.49,0,,,15741,0,0623.NTC-1,,Negative,Composite,,,,C12,,
0623/NTC,NTC,06/23/21,R,E484Q,,,0,0.49,0,,,15741,0,0623.NTC-1,,Negative,Composite,,,,C12,,
0623/NTC,NTC,06/23/21,R,L452wt,,,0,0.49,0,,,15741,0,0623.NTC-1,,Negative,Composite,,,,C12,,
0623/NTC,NTC,06/23/21,R,E484wt,,,0,0.49,0,,,15741,0,0623.NTC-1,,Negative,Composite,,,,C12,,
0623/NTC,NTC,06/23/21,R,L452R,,,0,0.44,0,,,17569,0,0623.NTC-2,,Negative,Composite,,,,D12,,
0623/NTC,NTC,06/23/21,R,E484Q,,,0,0.44,0,,,17569,0,0623.NTC-2,,Negative,Composite,,,,D12,,
0623/NTC,NTC,06/23/21,R,L452wt,,,0,0.44,0,,,17569,0,0623.NTC-2,,Negative,Composite,,,,D12,,
0623/NTC,NTC,06/23/21,R,E484wt,,,0,0.44,0,,,17569,0,0623.NTC-2,,Negative,Composite,,,,D12,,
0623/NTC,NTC,06/23/21,R,L452R,,,0,0.45,0,,,17088,0,0623.NTC-3,,Negative,Composite,,,,E12,,
0623/NTC,NTC,06/23/21,R,E484Q,,,0,0.45,0,,,17088,0,0623.NTC-3,,Negative,Composite,,,,E12,,
0623/NTC,NTC,06/23/21,R,L452wt,,,0,0.45,0,,,17088,0,0623.NTC-3,,Negative,Composite,,,,E12,,
0623/NTC,NTC,06/23/21,R,E484wt,,,0,0.45,0,,,17088,0,0623.NTC-3,,Negative,Composite,,,,E12,,
0623/NTC,NTC,06/23/21,R,L452R,,,0,0.47,0,,,16585,0,0623.NTC-4,,Negative,Composite,,,,F12,,
0623/NTC,NTC,06/23/21,R,E484Q,,,0,0.47,0,,,16585,0,0623.NTC-4,,Negative,Composite,,,,F12,,
0623/NTC,NTC,06/23/21,R,L452wt,,,0,0.47,0,,,16585,0,0623.NTC-4,,Negative,Composite,,,,F12,,
0623/NTC,NTC,06/23/21,R,E484wt,,,0,0.47,0,,,16585,0,0623.NTC-4,,Negative,Composite,,,,F12,,
0623/NTC,NTC,06/23/21,R,L452R,,,0,0.48,0,,,16275,0,0623.NTC-5,,Negative,Composite,,,,G12,,
0623/NTC,NTC,06/23/21,R,E484Q,,,0,0.48,0,,,16275,0,0623.NTC-5,,Negative,Composite,,,,G12,,
0623/NTC,NTC,06/23/21,R,L452wt,,,0,0.48,0,,,16275,0,0623.NTC-5,,Negative,Composite,,,,G12,,
0623/NTC,NTC,06/23/21,R,E484wt,,,0,0.48,0,,,16275,0,0623.NTC-5,,Negative,Composite,,,,G12,,
0623/NTC,NTC,06/23/21,R,L452R,,,0,0.48,0,,,16293,0,0623.NTC-6,,Negative,Composite,,,,H12,,
0623/NTC,NTC,06/23/21,R,E484Q,,,0,0.48,0,,,16293,0,0623.NTC-6,,Negative,Composite,,,,H12,,
0623/NTC,NTC,06/23/21,R,L452wt,,,0,0.48,0,,,16293,0,0623.NTC-6,,Negative,Composite,,,,H12,,
0623/NTC,NTC,06/23/21,R,E484wt,,,0,0.48,0,,,16293,0,0623.NTC-6,,Negative,Composite,,,,H12,,
0623/stdCA,stdCA,06/23/21,R,L452R,,,86.39,94.08,78.72,,,14896,486,0623.stdCA-1,,Positive,Composite,,,,E11,,
0623/stdCA,stdCA,06/23/21,R,E484Q,,,0,0.54,0,,,14896,0,0623.stdCA-1,,Negative,Composite,,,,E11,,
0623/stdCA,stdCA,06/23/21,R,L452wt,,,0,0.54,0,,,14896,0,0623.stdCA-1,,Negative,Composite,,,,E11,,
0623/stdCA,stdCA,06/23/21,R,E484wt,,,86.03,93.7,78.37,,,14896,484,0623.stdCA-1,,Positive,Composite,,,,E11,,
0623/stdCA,stdCA,06/23/21,R,L452R,,,,,,,,12112,0,0623.stdCA-2,,,Composite,,,,F11,,
0623/stdCA,stdCA,06/23/21,R,E484Q,,,,,,,,12112,0,0623.stdCA-2,,,Composite,,,,F11,,
0623/stdCA,stdCA,06/23/21,R,L452wt,,,,,,,,12112,0,0623.stdCA-2,,,Composite,,,,F11,,
0623/stdCA,stdCA,06/23/21,R,E484wt,,,,,,,,12112,0,0623.stdCA-2,,,Composite,,,,F11,,
0623/stdIndia,stdIndia,06/23/21,R,L452R,,,41.51,47.07,35.95,,,13489,214,0623.stdIndia-1,,Positive,Composite,,,,A12,,
0623/stdIndia,stdIndia,06/23/21,R,E484Q,,,41.51,47.07,35.95,,,13489,214,0623.stdIndia-1,,Positive,Composite,,,,A12,,
0623/stdIndia,stdIndia,06/23/21,R,L452wt,,,0,0.59,0,,,13489,0,0623.stdIndia-1,,Negative,Composite,,,,A12,,
0623/stdIndia,stdIndia,06/23/21,R,E484wt,,,0,0.59,0,,,13489,0,0623.stdIndia-1,,Negative,Composite,,,,A12,,
0623/stdIndia,stdIndia,06/23/21,R,L452R,,,38.48,43.47,33.5,,,15565,229,0623.stdIndia-2,,Positive,Composite,,,,B12,,
0623/stdIndia,stdIndia,06/23/21,R,E484Q,,,38.48,43.47,33.5,,,15565,229,0623.stdIndia-2,,Positive,Composite,,,,B12,,
0623/stdIndia,stdIndia,06/23/21,R,L452wt,,,0,0.51,0,,,15565,0,0623.stdIndia-2,,Negative,Composite,,,,B12,,
0623/stdIndia,stdIndia,06/23/21,R,E484wt,,,0,0.51,0,,,15565,0,0623.stdIndia-2,,Negative,Composite,,,,B12,,
0623/stdMix,stdMix,06/23/21,R,L452R,,,89.83,96.77,82.9,,,19307,645,0623.stdMix-1,,Positive,Composite,,,,G11,,
0623/stdMix,stdMix,06/23/21,R,E484Q,,,42.58,47.38,37.79,,,19307,303,0623.stdMix-1,,Positive,Composite,,,,G11,,
0623/stdMix,stdMix,06/23/21,R,L452wt,,,43.98,48.86,39.11,,,19307,313,0623.stdMix-1,,Positive,Composite,,,,G11,,
0623/stdMix,stdMix,06/23/21,R,E484wt,,,90.63,97.6,83.68,,,19307,651,0623.stdMix-1,,Positive,Composite,,,,G11,,
0623/stdMix,stdMix,06/23/21,R,L452R,,,86.93,93.9,79.99,,,18520,600,0623.stdMix-2,,Positive,Composite,,,,H11,,
0623/stdMix,stdMix,06/23/21,R,E484Q,,,43.83,48.79,38.87,,,18520,300,0623.stdMix-2,,Positive,Composite,,,,H11,,
