Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
0628/Blank,Blank,06/28/21,R,SARS CoV-2 N2,,,0,0.42,0,,,18661,0,0628.Blank-3,,Negative,Composite,,,,C1,,
0628/Blank,Blank,06/28/21,R,SARS CoV-2 N1,,,0,0.42,0,,,18661,0,0628.Blank-3,,Negative,Composite,,,,C1,,
0628/Blank,Blank,06/28/21,R,SARS CoV-2 N2,,,0,0.42,0,,,18799,0,0628.Blank-4,,Negative,Composite,,,,D1,,
0628/Blank,Blank,06/28/21,R,SARS CoV-2 N1,,,0,0.42,0,,,18799,0,0628.Blank-4,,Negative,Composite,,,,D1,,
0628/DI,DI,06/28/21,R,SARS CoV-2 N2,,50,0.18,0.86,0,586.67,,14297,1,0628.DI-3,2738.54,Negative,Composite,,,,A1,2860,0
0628/DI,DI,06/28/21,R,SARS CoV-2 N1,,50,0,0.55,0,0,,14297,0,0628.DI-3,1540,Negative,Composite,,,,A1,1833.33,0
0628/DI,DI,06/28/21,R,SARS CoV-2 N2,,50,0,0.44,0,0,,17744,0,0628.DI-4,2738.54,Negative,Composite,,,,B1,1466.67,0
0628/DI,DI,06/28/21,R,SARS CoV-2 N1,,50,0,0.44,0,0,,17744,0,0628.DI-4,1540,Negative,Composite,,,,B1,1466.67,0
0630/NTC,NTC,06/30/21,R,SARS CoV-2 N2,,,0,0.42,0,,,18744,0,0630.NTC-1,,Negative,Composite,,,,C11,,
0630/NTC,NTC,06/30/21,R,SARS CoV-2 N1,,,0,0.42,0,,,18744,0,0630.NTC-1,,Negative,Composite,,,,C11,,
0630/NTC,NTC,06/30/21,R,SARS CoV-2 N2,,,0,0.48,0,,,16007,0,0630.NTC-2,,Negative,Composite,,,,D11,,
0630/NTC,NTC,06/30/21,R,SARS CoV-2 N1,,,0,0.48,0,,,16007,0,0630.NTC-2,,Negative,Composite,,,,D11,,
0630/NTC,NTC,06/30/21,R,SARS CoV-2 N2,,,0,0.51,0,,,15055,0,0630.NTC-3,,Negative,Composite,,,,E11,,
0630/NTC,NTC,06/30/21,R,SARS CoV-2 N1,,,0,0.51,0,,,15055,0,0630.NTC-3,,Negative,Composite,,,,E11,,
0630/NTC,NTC,06/30/21,R,SARS CoV-2 N2,,,0,0.42,0,,,18861,0,0630.NTC-4,,Negative,Composite,,,,F11,,
0630/NTC,NTC,06/30/21,R,SARS CoV-2 N1,,,0,0.42,0,,,18861,0,0630.NTC-4,,Negative,Composite,,,,F11,,
0630/NTC,NTC,06/30/21,R,SARS CoV-2 N2,,,0,0.44,0,,,17955,0,0630.NTC-5,,Negative,Composite,,,,G11,,
0630/NTC,NTC,06/30/21,R,SARS CoV-2 N1,,,0,0.44,0,,,17955,0,0630.NTC-5,,Negative,Composite,,,,G11,,
0630/NTC,NTC,06/30/21,R,SARS CoV-2 N2,,,0,0.42,0,,,18314,0,0630.NTC-6,,Negative,Composite,,,,H11,,
0630/NTC,NTC,06/30/21,R,SARS CoV-2 N1,,,0,0.42,0,,,18314,0,0630.NTC-6,,Negative,Composite,,,,H11,,
69th Street,69,06/28/21,R,SARS CoV-2 N2,,50,0.68,1.58,0.2,2273.33,,15311,4,0628.69-1,2738.54,Negative,Composite,,,,E2,5280,660
69th Street,69,06/28/21,R,SARS CoV-2 N1,,50,0.68,1.58,0.2,2273.33,,15311,4,0628.69-1,1540,Positive,Composite,,,,E2,5280,660
69th Street,69,06/28/21,R,SARS CoV-2 N2,,50,1.47,2.62,0.75,4913.33,,17445,10,0628.69-2,2738.54,Positive,Composite,,,,F2,8726.67,2493.33
69th Street,69,06/28/21,R,SARS CoV-2 N1,,50,0.88,1.83,0.35,2933.33,,17445,6,0628.69-2,1540,Positive,Composite,,,,F2,6086.67,1173.33
Almeda Sims,AS,06/28/21,R,SARS CoV-2 N2,,50,2.2,3.74,1.32,7333.33,,15804,14,0628.AS-1,2738.54,Positive,Composite,,,,A3,12466.67,4400
Almeda Sims,AS,06/28/21,R,SARS CoV-2 N1,,50,2.2,3.74,1.32,7333.33,,15804,14,0628.AS-1,1540,Positive,Composite,,,,A3,12466.67,4400
Almeda Sims,AS,06/28/21,R,SARS CoV-2 N2,,50,1.54,2.71,0.77,5133.33,,16898,10,0628.AS-2,2738.54,Positive,Composite,,,,B3,9020,2566.67
Almeda Sims,AS,06/28/21,R,SARS CoV-2 N1,,50,1.69,2.9,0.88,5646.67,,16898,11,0628.AS-2,1540,Positive,Composite,,,,B3,9680,2933.33
Beltway,BW,06/28/21,R,SARS CoV-2 N2,,50,26.84,30.8,22.88,89466.67,,17931,185,0628.BW-1,2738.54,Positive,Composite,,,,C3,102666.67,76266.67
Beltway,BW,06/28/21,R,SARS CoV-2 N1,,50,28.16,32.12,24.2,93866.67,,17931,194,0628.BW-1,1540,Positive,Composite,,,,C3,107066.67,80666.67
Beltway,BW,06/28/21,R,SARS CoV-2 N2,,50,22.66,26.4,18.92,75533.33,,15701,137,0628.BW-2,2738.54,Positive,Composite,,,,D3,88000,63066.67
