Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
0628/Blank,Blank,06/28/21,R,484K,,,0,0.49,0,,,15947,0,0628.Blank-3,,Negative,Composite,,,,C1,,
0628/Blank,Blank,06/28/21,R,E484 wild-type,,,0,0.49,0,,,15947,0,0628.Blank-3,,Negative,Composite,,,,C1,,
0628/Blank,Blank,06/28/21,R,417T,,,0,0.49,0,,,15947,0,0628.Blank-3,,Negative,Composite,,,,C1,,
0628/Blank,Blank,06/28/21,R,K417 wild-type,,,0,0.49,0,,,15947,0,0628.Blank-3,,Negative,Composite,,,,C1,,
0628/Blank,Blank,06/28/21,R,417N,,,0,0.49,0,,,15947,0,0628.Blank-3,,Negative,Composite,,,,C1,,
0628/Blank,Blank,06/28/21,R,484K,,,0,0.45,0,,,17203,0,0628.Blank-4,,Negative,Composite,,,,D1,,
0628/Blank,Blank,06/28/21,R,E484 wild-type,,,0,0.45,0,,,17203,0,0628.Blank-4,,Negative,Composite,,,,D1,,
0628/Blank,Blank,06/28/21,R,417T,,,0,0.45,0,,,17203,0,0628.Blank-4,,Negative,Composite,,,,D1,,
0628/Blank,Blank,06/28/21,R,K417 wild-type,,,0,0.45,0,,,17203,0,0628.Blank-4,,Negative,Composite,,,,D1,,
0628/Blank,Blank,06/28/21,R,417N,,,0,0.45,0,,,17203,0,0628.Blank-4,,Negative,Composite,,,,D1,,
0628/DI,DI,06/28/21,R,484K,,50,0,0.45,0,0,,17093,0,0628.DI-3,1501.6,Negative,Composite,,,,A1,1512.68,0
0628/DI,DI,06/28/21,R,E484 wild-type,,50,0.15,0.72,0.01,504.84,,17093,1,0628.DI-3,1783.04,Negative,Composite,,,,A1,2411.38,21.2
0628/DI,DI,06/28/21,R,417T,,50,0,0.45,0,0,,17093,0,0628.DI-3,1547.29,Negative,Composite,,,,A1,1512.68,0
0628/DI,DI,06/28/21,R,K417 wild-type,,50,0,0.45,0,0,,17093,0,0628.DI-3,1677.08,Negative,Composite,,,,A1,1512.59,0
0628/DI,DI,06/28/21,R,417N,,50,0,0.45,0,0,,17093,0,0628.DI-3,1583.07,Negative,Composite,,,,A1,1512.68,0
0628/DI,DI,06/28/21,R,484K,,50,0,0.48,0,0,,16250,0,0628.DI-4,1501.6,Negative,Composite,,,,B1,1590.88,0
0628/DI,DI,06/28/21,R,E484 wild-type,,50,0,0.48,0,0,,16250,0,0628.DI-4,1783.04,Negative,Composite,,,,B1,1590.88,0
0628/DI,DI,06/28/21,R,417T,,50,0,0.48,0,0,,16250,0,0628.DI-4,1547.29,Negative,Composite,,,,B1,1590.88,0
0628/DI,DI,06/28/21,R,K417 wild-type,,50,0,0.48,0,0,,16250,0,0628.DI-4,1677.08,Negative,Composite,,,,B1,1590.88,0
0628/DI,DI,06/28/21,R,417N,,50,0,0.48,0,0,,16250,0,0628.DI-4,1583.07,Negative,Composite,,,,B1,1590.88,0
0630/NTC,NTC,06/30/21,R,484K,,,0,0.56,0,,,13938,0,0630.NTC-1,,Negative,Composite,,,,A12,,
0630/NTC,NTC,06/30/21,R,E484 wild-type,,,0,0.56,0,,,13938,0,0630.NTC-1,,Negative,Composite,,,,A12,,
0630/NTC,NTC,06/30/21,R,417T,,,0,0.56,0,,,13938,0,0630.NTC-1,,Negative,Composite,,,,A12,,
0630/NTC,NTC,06/30/21,R,K417 wild-type,,,0,0.56,0,,,13938,0,0630.NTC-1,,Negative,Composite,,,,A12,,
0630/NTC,NTC,06/30/21,R,417N,,,0,0.56,0,,,13938,0,0630.NTC-1,,Negative,Composite,,,,A12,,
0630/NTC,NTC,06/30/21,R,484K,,,0,0.48,0,,,16339,0,0630.NTC-2,,Negative,Composite,,,,B12,,
0630/NTC,NTC,06/30/21,R,E484 wild-type,,,0,0.48,0,,,16339,0,0630.NTC-2,,Negative,Composite,,,,B12,,
0630/NTC,NTC,06/30/21,R,417T,,,0,0.48,0,,,16339,0,0630.NTC-2,,Negative,Composite,,,,B12,,
0630/NTC,NTC,06/30/21,R,K417 wild-type,,,0,0.48,0,,,16339,0,0630.NTC-2,,Negative,Composite,,,,B12,,
0630/NTC,NTC,06/30/21,R,417N,,,0,0.48,0,,,16339,0,0630.NTC-2,,Negative,Composite,,,,B12,,
0630/NTC,NTC,06/30/21,R,484K,,,0,0.41,0,,,18745,0,0630.NTC-3,,Negative,Composite,,,,C12,,
0630/NTC,NTC,06/30/21,R,E484 wild-type,,,0,0.41,0,,,18745,0,0630.NTC-3,,Negative,Composite,,,,C12,,
0630/NTC,NTC,06/30/21,R,417T,,,0,0.41,0,,,18745,0,0630.NTC-3,,Negative,Composite,,,,C12,,
0630/NTC,NTC,06/30/21,R,K417 wild-type,,,0,0.41,0,,,18745,0,0630.NTC-3,,Negative,Composite,,,,C12,,
0630/NTC,NTC,06/30/21,R,417N,,,0,0.41,0,,,18745,0,0630.NTC-3,,Negative,Composite,,,,C12,,
0630/NTC,NTC,06/30/21,R,484K,,,0,0.45,0,,,17235,0,0630.NTC-4,,Negative,Composite,,,,D12,,
0630/NTC,NTC,06/30/21,R,E484 wild-type,,,0,0.45,0,,,17235,0,0630.NTC-4,,Negative,Composite,,,,D12,,
0630/NTC,NTC,06/30/21,R,417T,,,0,0.45,0,,,17235,0,0630.NTC-4,,Negative,Composite,,,,D12,,
0630/NTC,NTC,06/30/21,R,K417 wild-type,,,0,0.45,0,,,17235,0,0630.NTC-4,,Negative,Composite,,,,D12,,
