Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
0630/Blank,Blank,06/30/21,R,SARS CoV-2 N2,,,0.13,0.62,0,,,20116,1,0630.Blank-1,,Negative,Composite,,,,C1,,
0630/Blank,Blank,06/30/21,R,SARS CoV-2 N1,,,0,0.4,0,,,20116,0,0630.Blank-1,,Negative,Composite,,,,C1,,
0630/Blank,Blank,06/30/21,R,SARS CoV-2 N2,,,0,0.42,0,,,18604,0,0630.Blank-2,,Negative,Composite,,,,D1,,
0630/Blank,Blank,06/30/21,R,SARS CoV-2 N1,,,0,0.42,0,,,18604,0,0630.Blank-2,,Negative,Composite,,,,D1,,
0630/DI,DI,06/30/21,R,SARS CoV-2 N2,,50,0,0.46,0,0,,16676,0,0630.DI-1,2333.33,Negative,Composite,,,,A1,1540,0
0630/DI,DI,06/30/21,R,SARS CoV-2 N1,,50,0,0.46,0,0,,16676,0,0630.DI-1,1895.5,Negative,Composite,,,,A1,1540,0
0630/DI,DI,06/30/21,R,SARS CoV-2 N2,,50,0,0.4,0,0,,19750,0,0630.DI-2,2333.33,Negative,Composite,,,,B1,1320,0
0630/DI,DI,06/30/21,R,SARS CoV-2 N1,,50,0,0.4,0,0,,19750,0,0630.DI-2,1895.5,Negative,Composite,,,,B1,1320,0
0701/NTC,NTC,07/01/21,R,SARS CoV-2 N2,,,0,0.59,0,,,13055,0,0701.NTC-1,,Negative,Composite,,,,A7,,
0701/NTC,NTC,07/01/21,R,BCoV,,,16.5,85.25,5.5,,,18333,1,0701.NTC-1,,Negative,Composite,,,,G8,,
0701/NTC,NTC,07/01/21,R,SARS CoV-2 N1,,,0,0.59,0,,,13055,0,0701.NTC-1,,Negative,Composite,,,,A7,,
0701/NTC,NTC,07/01/21,R,SARS CoV-2 N2,,,0,0.51,0,,,15046,0,0701.NTC-2,,Negative,Composite,,,,B7,,
0701/NTC,NTC,07/01/21,R,BCoV,,,0,57.75,0,,,17065,0,0701.NTC-2,,Negative,Composite,,,,H8,,
0701/NTC,NTC,07/01/21,R,SARS CoV-2 N1,,,0.18,0.81,0,,,15046,1,0701.NTC-2,,Negative,Composite,,,,B7,,
0701/NTC,NTC,07/01/21,R,SARS CoV-2 N2,,,0,0.53,0,,,14544,0,0701.NTC-3,,Negative,Composite,,,,C7,,
0701/NTC,NTC,07/01/21,R,SARS CoV-2 N1,,,0,0.53,0,,,14544,0,0701.NTC-3,,Negative,Composite,,,,C7,,
0701/NTC,NTC,07/01/21,R,SARS CoV-2 N2,,,0,0.46,0,,,16790,0,0701.NTC-4,,Negative,Composite,,,,D7,,
0701/NTC,NTC,07/01/21,R,SARS CoV-2 N1,,,0,0.46,0,,,16790,0,0701.NTC-4,,Negative,Composite,,,,D7,,
0701/NTC,NTC,07/01/21,R,SARS CoV-2 N2,,,0,0.51,0,,,15579,0,0701.NTC-5,,Negative,Composite,,,,E7,,
0701/NTC,NTC,07/01/21,R,SARS CoV-2 N1,,,0,0.51,0,,,15579,0,0701.NTC-5,,Negative,Composite,,,,E7,,
0701/NTC,NTC,07/01/21,R,SARS CoV-2 N2,,,0,0.46,0,,,17155,0,0701.NTC-6,,Negative,Composite,,,,F7,,
0701/NTC,NTC,07/01/21,R,SARS CoV-2 N1,,,0,0.46,0,,,17155,0,0701.NTC-6,,Negative,Composite,,,,F7,,
0701/NTC,NTC,07/01/21,R,SARS CoV-2 N2,,,0,0.46,0,,,16530,0,0701.NTC-7,,Negative,Composite,,,,G7,,
0701/NTC,NTC,07/01/21,R,SARS CoV-2 N1,,,0,0.46,0,,,16530,0,0701.NTC-7,,Negative,Composite,,,,G7,,
0701/NTC,NTC,07/01/21,R,SARS CoV-2 N2,,,0,0.44,0,,,17556,0,0701.NTC-8,,Negative,Composite,,,,H7,,
0701/NTC,NTC,07/01/21,R,SARS CoV-2 N1,,,0,0.44,0,,,17556,0,0701.NTC-8,,Negative,Composite,,,,H7,,
0701/stdVaccS61,stdVaccS61,07/01/21,R,BCoV,,,5252.5,5885,4950,,,16750,270,0701.stdVaccS61-1,,Positive,Composite,,,,E8,,
0701/stdVaccS61,stdVaccS61,07/01/21,R,BCoV,,,1815,2172.5,1650,,,17793,100,0701.stdVaccS61-2,,Positive,Composite,,,,F8,,
Afton Oaks,AO,06/30/21,R,SARS CoV-2 N2,,50,0,0.42,0,0,,18273,0,0630.AO-1,2333.33,Negative,Composite,,,,E1,1393.33,0
Afton Oaks,AO,06/30/21,R,SARS CoV-2 N1,,50,0,0.42,0,0,,18273,0,0630.AO-1,1895.5,Negative,Composite,,,,E1,1393.33,0
Afton Oaks,AO,06/30/21,R,SARS CoV-2 N2,,50,0,0.42,0,0,,18921,0,0630.AO-2,2333.33,Negative,Composite,,,,F1,1393.33,0
Afton Oaks,AO,06/30/21,R,SARS CoV-2 N1,,50,0,0.42,0,0,,18921,0,0630.AO-2,1895.5,Negative,Composite,,,,F1,1393.33,0
Arden Place,AP,06/30/21,R,SARS CoV-2 N2,,50,0,0.44,0,0,,17891,0,0630.AP-1,2333.33,Negative,Composite,,,,G1,1466.67,0
Arden Place,AP,06/30/21,R,SARS CoV-2 N1,,50,0,0.44,0,0,,17891,0,0630.AP-1,1895.5,Negative,Composite,,,,G1,1466.67,0
Arden Place,AP,06/30/21,R,SARS CoV-2 N2,,50,0,0.4,0,0,,19334,0,0630.AP-2,2333.33,Negative,Composite,,,,H1,1320,0
Arden Place,AP,06/30/21,R,SARS CoV-2 N1,,50,0,0.4,0,0,,19334,0,0630.AP-2,1895.5,Negative,Composite,,,,H1,1320,0
Arden Wood,AW,06/30/21,R,SARS CoV-2 N2,,50,0,0.44,0,0,,17769,0,0630.AW-1,2333.33,Negative,Composite,,,,A2,1466.67,0
Arden Wood,AW,06/30/21,R,SARS CoV-2 N1,,50,0,0.44,0,0,,17769,0,0630.AW-1,1895.5,Negative,Composite,,,,A2,1466.67,0
Arden Wood,AW,06/30/21,R,SARS CoV-2 N2,,50,0,0.42,0,0,,18638,0,0630.AW-2,2333.33,Negative,Composite,,,,B2,1393.33,0
Arden Wood,AW,06/30/21,R,SARS CoV-2 N1,,50,0,0.42,0,0,,18638,0,0630.AW-2,1895.5,Negative,Composite,,,,B2,1393.33,0
Catholic Charities Villa Guadalupe,CCV,06/30/21,R,SARS CoV-2 N2,,50,0.13,0.66,0,440,,18869,1,0630.CCV-1,2333.33,Negative,Composite,,,,E2,2200,0
Catholic Charities Villa Guadalupe,CCV,06/30/21,R,SARS CoV-2 N1,,50,0.13,0.66,0,440,,18869,1,0630.CCV-1,1895.5,Negative,Composite,,,,E2,2200,0
Catholic Charities Villa Guadalupe,CCV,06/30/21,R,SARS CoV-2 N2,,50,0.73,1.56,0.24,2420,,18015,5,0630.CCV-2,2333.33,Positive,Composite,,,,F2,5206.67,806.67
Catholic Charities Villa Guadalupe,CCV,06/30/21,R,SARS CoV-2 N1,,50,0.15,0.68,0,513.33,,18015,1,0630.CCV-2,1895.5,Negative,Composite,,,,F2,2273.33,0
Covenant House Emergency Crisis Shelter,CHEC,06/30/21,R,SARS CoV-2 N2,,50,0,0.42,0,0,,18994,0,0630.CHEC-1,2333.33,Negative,Composite,,,,G2,1393.33,0
Covenant House Emergency Crisis Shelter,CHEC,06/30/21,R,SARS CoV-2 N1,,50,0,0.42,0,0,,18994,0,0630.CHEC-1,1895.5,Negative,Composite,,,,G2,1393.33,0
Covenant House Emergency Crisis Shelter,CHEC,06/30/21,R,SARS CoV-2 N2,,50,0,0.44,0,0,,17964,0,0630.CHEC-2,2333.33,Negative,Composite,,,,H2,1466.67,0
Covenant House Emergency Crisis Shelter,CHEC,06/30/21,R,SARS CoV-2 N1,,50,0,0.44,0,0,,17964,0,0630.CHEC-2,1895.5,Negative,Composite,,,,H2,1466.67,0
Focused Care Beechnut,FCB,06/30/21,R,SARS CoV-2 N2,,50,0,0.48,0,0,,16370,0,0630.FCB-1,2333.33,Negative,Composite,,,,A3,1613.33,0
Focused Care Beechnut,FCB,06/30/21,R,SARS CoV-2 N1,,50,0,0.48,0,0,,16370,0,0630.FCB-1,1895.5,Negative,Composite,,,,A3,1613.33,0
Focused Care Beechnut,FCB,06/30/21,R,SARS CoV-2 N2,,50,0,0.42,0,0,,18136,0,0630.FCB-2,2333.33,Negative,Composite,,,,B3,1393.33,0
Focused Care Beechnut,FCB,06/30/21,R,SARS CoV-2 N1,,50,0,0.42,0,0,,18136,0,0630.FCB-2,1895.5,Negative,Composite,,,,B3,1393.33,0
Focused Care of Westwood,FCW,06/30/21,R,SARS CoV-2 N2,,50,0,0.44,0,0,,17440,0,0630.FCW-1,2333.33,Negative,Composite,,,,C3,1466.67,0
Focused Care of Westwood,FCW,06/30/21,R,SARS CoV-2 N1,,50,0.15,0.7,0,513.33,,17440,1,0630.FCW-1,1895.5,Negative,Composite,,,,C3,2346.67,0
Focused Care of Westwood,FCW,06/30/21,R,SARS CoV-2 N2,,50,0.15,0.73,0,513.33,,16849,1,0630.FCW-2,2333.33,Negative,Composite,,,,D3,2420,0
Focused Care of Westwood,FCW,06/30/21,R,SARS CoV-2 N1,,50,0,0.46,0,0,,16849,0,0630.FCW-2,1895.5,Negative,Composite,,,,D3,1540,0
Harris County Jail (Baker),HCJB,06/30/21,R,SARS CoV-2 N2,,50,1.19,2.16,0.57,3960,,19498,9,0630.HCJB-1,2333.33,Positive,Composite,,,,E3,7186.67,1906.67
Harris County Jail (Baker),HCJB,06/30/21,R,BCoV,,50,54725,56650,53625,182416666.67,,17144,2666,0630.HCJB-1,92058.73,Positive,Composite,,,,A8,188833333.33,178750000
Harris County Jail (Baker),HCJB,06/30/21,R,SARS CoV-2 N1,,50,2.13,3.34,1.23,7113.33,,19498,16,0630.HCJB-1,1895.5,Positive,Composite,,,,E3,11146.67,4106.67
Harris County Jail (Baker),HCJB,06/30/21,R,SARS CoV-2 N2,,50,0.7,1.52,0.24,2346.67,,18621,5,0630.HCJB-2,2333.33,Positive,Composite,,,,F3,5060,806.67
Harris County Jail (Baker),HCJB,06/30/21,R,BCoV,,50,48400,50325,47575,161333333.33,,18555,2584,0630.HCJB-2,92058.73,Positive,Composite,,,,B8,167750000,158583333.33
