Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
0705/Blank,Blank,07/05/21,R,484K,,,0,0.43,0,,,18248,0,0705.Blank-1,,Negative,Composite,,,,C1,,
0705/Blank,Blank,07/05/21,R,E484 wild-type,,,0,0.43,0,,,18248,0,0705.Blank-1,,Negative,Composite,,,,C1,,
0705/Blank,Blank,07/05/21,R,417T,,,0,0.43,0,,,18248,0,0705.Blank-1,,Negative,Composite,,,,C1,,
0705/Blank,Blank,07/05/21,R,K417 wild-type,,,0,0.43,0,,,18248,0,0705.Blank-1,,Negative,Composite,,,,C1,,
0705/Blank,Blank,07/05/21,R,417N,,,0.14,0.68,0.01,,,18248,1,0705.Blank-1,,Negative,Composite,,,,C1,,
0705/Blank,Blank,07/05/21,R,484K,,,0,0.44,0,,,17605,0,0705.Blank-2,,Negative,Composite,,,,D1,,
0705/Blank,Blank,07/05/21,R,E484 wild-type,,,0,0.44,0,,,17605,0,0705.Blank-2,,Negative,Composite,,,,D1,,
0705/Blank,Blank,07/05/21,R,417T,,,0,0.44,0,,,17605,0,0705.Blank-2,,Negative,Composite,,,,D1,,
0705/Blank,Blank,07/05/21,R,K417 wild-type,,,0,0.44,0,,,17605,0,0705.Blank-2,,Negative,Composite,,,,D1,,
0705/Blank,Blank,07/05/21,R,417N,,,0,0.44,0,,,17605,0,0705.Blank-2,,Negative,Composite,,,,D1,,
0705/DI,DI,07/05/21,R,484K,,50,0,0.48,0,0,,16325,0,0705.DI-3,1409.83,Negative,Composite,,,,A1,1583.96,0
0705/DI,DI,07/05/21,R,E484 wild-type,,50,0,0.48,0,0,,16325,0,0705.DI-3,1849.91,Negative,Composite,,,,A1,1583.96,0
0705/DI,DI,07/05/21,R,417T,,50,0,0.48,0,0,,16325,0,0705.DI-3,1485.82,Negative,Composite,,,,A1,1583.96,0
0705/DI,DI,07/05/21,R,K417 wild-type,,50,0,0.48,0,0,,16325,0,0705.DI-3,1467.28,Negative,Composite,,,,A1,1583.96,0
