Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
0812/Blank,Blank,08/12/21,R,SARS CoV-2 N2,,,0,0.48,0,,,15711,0,0812.Blank-1,,Negative,Composite,,,,A1,,
0812/Blank,Blank,08/12/21,R,SARS CoV-2 N1,,,0,0.48,0,,,15711,0,0812.Blank-1,,Negative,Composite,,,,A1,,
0812/Blank,Blank,08/12/21,R,SARS CoV-2 N2,,,0,0.42,0,,,18405,0,0812.Blank-2,,Negative,Composite,,,,B1,,
0812/Blank,Blank,08/12/21,R,SARS CoV-2 N1,,,0,0.42,0,,,18405,0,0812.Blank-2,,Negative,Composite,,,,B1,,
0812/DI,DI,08/12/21,R,SARS CoV-2 N2,,50,0,0.42,0,0,,18898,0,0812.DI-1,2814.32,Negative,Composite,,,,C1,1393.33,0
0812/DI,DI,08/12/21,R,SARS CoV-2 N1,,50,0,0.42,0,0,,18898,0,0812.DI-1,1686.67,Negative,Composite,,,,C1,1393.33,0
0812/DI,DI,08/12/21,R,SARS CoV-2 N2,,50,0,0.4,0,0,,19272,0,0812.DI-2,2814.32,Negative,Composite,,,,D1,1320,0
0812/DI,DI,08/12/21,R,SARS CoV-2 N1,,50,0,0.4,0,0,,19272,0,0812.DI-2,1686.67,Negative,Composite,,,,D1,1320,0
0813/NTC,NTC,08/13/21,R,SARS CoV-2 N2,,,0.18,0.86,0,,,14408,1,0813.NTC-1,,Negative,Composite,,,,E9,,
0813/NTC,NTC,08/13/21,R,SARS CoV-2 N1,,,0,0.53,0,,,14408,0,0813.NTC-1,,Negative,Composite,,,,E9,,
0813/NTC,NTC,08/13/21,R,SARS CoV-2 N2,,,0,0.51,0,,,15173,0,0813.NTC-2,,Negative,Composite,,,,F9,,
0813/NTC,NTC,08/13/21,R,SARS CoV-2 N1,,,0,0.51,0,,,15173,0,0813.NTC-2,,Negative,Composite,,,,F9,,
0813/NTC,NTC,08/13/21,R,SARS CoV-2 N2,,,0,0.55,0,,,13973,0,0813.NTC-3,,Negative,Composite,,,,G9,,
0813/NTC,NTC,08/13/21,R,SARS CoV-2 N1,,,0,0.55,0,,,13973,0,0813.NTC-3,,Negative,Composite,,,,G9,,
0813/NTC,NTC,08/13/21,R,SARS CoV-2 N2,,,0,0.53,0,,,14780,0,0813.NTC-4,,Negative,Composite,,,,H9,,
0813/NTC,NTC,08/13/21,R,SARS CoV-2 N1,,,0,0.53,0,,,14780,0,0813.NTC-4,,Negative,Composite,,,,H9,,
Aldine Bender LS FN300,ALDB,08/12/21,R,SARS CoV-2 N2,,50,115.28,123.64,107.14,384266.67,,16978,740,0812.ALDB-1,2814.32,Positive,Composite,,,,E1,412133.33,357133.33
Aldine Bender LS FN300,ALDB,08/12/21,R,SARS CoV-2 N1,,50,125.62,134.2,116.82,418733.33,,16978,804,0812.ALDB-1,1686.67,Positive,Composite,,,,E1,447333.33,389400
Aldine Bender LS FN300,ALDB,08/12/21,R,SARS CoV-2 N2,,50,123.64,132.22,115.06,412133.33,,17340,809,0812.ALDB-2,2814.32,Positive,Composite,,,,F1,440733.33,383533.33
Aldine Bender LS FN300,ALDB,08/12/21,R,SARS CoV-2 N1,,50,146.08,155.54,136.84,486933.33,,17340,952,0812.ALDB-2,1686.67,Positive,Composite,,,,F1,518466.67,456133.33
BALLANTINE (CFS),BALL,08/12/21,R,SARS CoV-2 N2,,50,38.94,43.78,34.1,129800,,16546,247,0812.BALL-1,2814.32,Positive,Composite,,,,G1,145933.33,113666.67
BALLANTINE (CFS),BALL,08/12/21,R,SARS CoV-2 N1,,50,41.8,46.86,36.74,139333.33,,16546,265,0812.BALL-1,1686.67,Positive,Composite,,,,G1,156200,122466.67
BALLANTINE (CFS),BALL,08/12/21,R,SARS CoV-2 N2,,50,31.02,35.42,26.84,103400,,16771,200,0812.BALL-2,2814.32,Positive,Composite,,,,H1,118066.67,89466.67
