Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
0825/Blank,Blank,08/25/21,R,SARS CoV-2 N2,,,0,0.42,0,,,18097,0,0825.Blank-1,,Negative,Composite,,,,C1,,
0825/Blank,Blank,08/25/21,R,SARS CoV-2 N1,,,0.15,0.68,0,,,18097,1,0825.Blank-1,,Negative,Composite,,,,C1,,
0825/Blank,Blank,08/25/21,R,SARS CoV-2 N2,,,0,0.44,0,,,17988,0,0825.Blank-2,,Negative,Composite,,,,D1,,
0825/Blank,Blank,08/25/21,R,SARS CoV-2 N1,,,0,0.44,0,,,17988,0,0825.Blank-2,,Negative,Composite,,,,D1,,
0825/DI,DI,08/25/21,R,SARS CoV-2 N2,,50,0,0.48,0,0,,16334,0,0825.DI-1,2053.33,Negative,Composite,,,,A1,1613.33,0
0825/DI,DI,08/25/21,R,SARS CoV-2 N1,,50,0.15,0.75,0,513.33,,16334,1,0825.DI-1,2179.28,Negative,Composite,,,,A1,2493.33,0
0825/DI,DI,08/25/21,R,SARS CoV-2 N2,,50,0,0.46,0,0,,16899,0,0825.DI-2,2053.33,Negative,Composite,,,,B1,1540,0
0825/DI,DI,08/25/21,R,SARS CoV-2 N1,,50,0,0.46,0,0,,16899,0,0825.DI-2,2179.28,Negative,Composite,,,,B1,1540,0
0825/NTC,NTC,08/25/21,R,SARS CoV-2 N2,,,0,0.48,0,,,16259,0,0825.NTC-1,,Negative,Composite,,,,E7,,
0825/NTC,NTC,08/25/21,R,SARS CoV-2 N1,,,0,0.48,0,,,16259,0,0825.NTC-1,,Negative,Composite,,,,E7,,
0825/NTC,NTC,08/25/21,R,SARS CoV-2 N2,,,0,0.46,0,,,16719,0,0825.NTC-2,,Negative,Composite,,,,F7,,
0825/NTC,NTC,08/25/21,R,SARS CoV-2 N1,,,0,0.46,0,,,16719,0,0825.NTC-2,,Negative,Composite,,,,F7,,
0825/NTC,NTC,08/25/21,R,SARS CoV-2 N2,,,0,0.51,0,,,15065,0,0825.NTC-3,,Negative,Composite,,,,G7,,
0825/NTC,NTC,08/25/21,R,SARS CoV-2 N1,,,0.18,0.81,0,,,15065,1,0825.NTC-3,,Negative,Composite,,,,G7,,
0825/NTC,NTC,08/25/21,R,SARS CoV-2 N2,,,0,0.59,0,,,13134,0,0825.NTC-4,,Negative,Composite,,,,H7,,
0825/NTC,NTC,08/25/21,R,SARS CoV-2 N1,,,0,0.59,0,,,13134,0,0825.NTC-4,,Negative,Composite,,,,H7,,
