Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
0901/Blank,Blank,09/01/21,R,SARS CoV-2 N2,,,0,0.48,0,,,16248,0,0901.Blank-3,,Negative,Composite,,,,C1,,
0901/Blank,Blank,09/01/21,R,SARS CoV-2 N1,,,0,0.48,0,,,16248,0,0901.Blank-3,,Negative,Composite,,,,C1,,
0901/Blank,Blank,09/01/21,R,SARS CoV-2 N2,,,0,0.53,0,,,14729,0,0901.Blank-4,,Negative,Composite,,,,D1,,
0901/Blank,Blank,09/01/21,R,SARS CoV-2 N1,,,0,0.53,0,,,14729,0,0901.Blank-4,,Negative,Composite,,,,D1,,
0901/DI,DI,09/01/21,R,SARS CoV-2 N2,,50,0,0.51,0,0,,15080,0,0901.DI-3,2333.33,Negative,Composite,,,,A1,1686.67,0
0901/DI,DI,09/01/21,R,SARS CoV-2 N1,,50,0.18,0.81,0,586.67,,15080,1,0901.DI-3,3265.56,Negative,Composite,,,,A1,2713.33,0
0901/DI,DI,09/01/21,R,SARS CoV-2 N2,,50,0,0.46,0,0,,16477,0,0901.DI-4,2333.33,Negative,Composite,,,,B1,1540,0
0901/DI,DI,09/01/21,R,SARS CoV-2 N1,,50,0,0.46,0,0,,16477,0,0901.DI-4,3265.56,Negative,Composite,,,,B1,1540,0
0902/Blank,Blank,09/02/21,R,SARS CoV-2 N2,,,0,0.46,0,,,16735,0,0902.Blank-1,,Negative,Composite,,,,C1,,
0902/Blank,Blank,09/02/21,R,SARS CoV-2 N1,,,0,0.46,0,,,16735,0,0902.Blank-1,,Negative,Composite,,,,C1,,
0902/Blank,Blank,09/02/21,R,SARS CoV-2 N2,,,0,0.57,0,,,13662,0,0902.Blank-2,,Negative,Composite,,,,D1,,
0902/Blank,Blank,09/02/21,R,SARS CoV-2 N1,,,0.2,0.9,0,,,13662,1,0902.Blank-2,,Negative,Composite,,,,D1,,
0902/DI,DI,09/02/21,R,SARS CoV-2 N2,,50,0,0.55,0,0,,13927,0,0902.DI-1,1760,Negative,Composite,,,,A1,1833.33,0
0902/DI,DI,09/02/21,R,SARS CoV-2 N1,,50,0,0.55,0,0,,13927,0,0902.DI-1,2648.64,Negative,Composite,,,,A1,1833.33,0
0902/DI,DI,09/02/21,R,SARS CoV-2 N2,,50,0,0.51,0,0,,15538,0,0902.DI-2,1760,Negative,Composite,,,,B1,1686.67,0
0902/DI,DI,09/02/21,R,SARS CoV-2 N1,,50,0,0.51,0,0,,15538,0,0902.DI-2,2648.64,Negative,Composite,,,,B1,1686.67,0
0902/NTC,NTC,09/02/21,R,SARS CoV-2 N2,,,0,0.53,0,,,14433,0,0902.NTC-1,,Negative,Composite,,,,E5,,
0902/NTC,NTC,09/02/21,R,SARS CoV-2 N1,,,0,0.53,0,,,14433,0,0902.NTC-1,,Negative,Composite,,,,E5,,
0902/NTC,NTC,09/02/21,R,SARS CoV-2 N2,,,0,0.53,0,,,14640,0,0902.NTC-2,,Negative,Composite,,,,F5,,
0902/NTC,NTC,09/02/21,R,SARS CoV-2 N1,,,0,0.53,0,,,14640,0,0902.NTC-2,,Negative,Composite,,,,F5,,
0902/NTC,NTC,09/02/21,R,SARS CoV-2 N2,,,0,0.53,0,,,14755,0,0902.NTC-3,,Negative,Composite,,,,G5,,
0902/NTC,NTC,09/02/21,R,SARS CoV-2 N1,,,0.35,1.12,0.04,,,14755,2,0902.NTC-3,,Negative,Composite,,,,G5,,
0902/NTC,NTC,09/02/21,R,SARS CoV-2 N2,,,0,0.53,0,,,14846,0,0902.NTC-4,,Negative,Composite,,,,H5,,
