Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
0907/Blank,Blank,9/7/21,R,SARS CoV-2 N2,,,0,0.48,0,,,16025,0,0907.Blank-1,,Negative,Composite,,,,C1,,
0907/Blank,Blank,9/7/21,R,SARS CoV-2 N1,,,0,0.48,0,,,16025,0,0907.Blank-1,,Negative,Composite,,,,C1,,
0907/Blank,Blank,9/7/21,R,SARS CoV-2 N2,,,0,0.53,0,,,14778,0,0907.Blank-2,,Negative,Composite,,,,D1,,
0907/Blank,Blank,9/7/21,R,SARS CoV-2 N1,,,0,0.53,0,,,14778,0,0907.Blank-2,,Negative,Composite,,,,D1,,
0907/DI,DI,9/7/21,R,SARS CoV-2 N2,,50,0,0.53,0,0,,14478,0,0907.DI-1,2342.59,Negative,Composite,,,,A1,1760,0
0907/DI,DI,9/7/21,R,SARS CoV-2 N1,,50,0,0.53,0,0,,14478,0,0907.DI-1,3860.57,Negative,Composite,,,,A1,1760,0
0907/DI,DI,9/7/21,R,SARS CoV-2 N2,,50,0,0.53,0,0,,14706,0,0907.DI-2,2342.59,Negative,Composite,,,,B1,1760,0
0907/DI,DI,9/7/21,R,SARS CoV-2 N1,,50,0,0.53,0,0,,14706,0,0907.DI-2,3860.57,Negative,Composite,,,,B1,1760,0
0909/NTC,NTC,9/9/21,R,SARS CoV-2 N2,,,0,0.66,0,,,11569,0,0909.NTC-1,,Negative,Composite,,,,B11,,
0909/NTC,NTC,9/9/21,R,SARS CoV-2 N1,,,0.22,1.08,0,,,11569,1,0909.NTC-1,,Negative,Composite,,,,B11,,
0909/NTC,NTC,9/9/21,R,SARS CoV-2 N2,,,0,0.66,0,,,11763,0,0909.NTC-2,,Negative,Composite,,,,C11,,
0909/NTC,NTC,9/9/21,R,SARS CoV-2 N1,,,0.44,1.41,0.07,,,11763,2,0909.NTC-2,,Negative,Composite,,,,C11,,
0909/NTC,NTC,9/9/21,R,SARS CoV-2 N2,,,0,0.59,0,,,13156,0,0909.NTC-3,,Negative,Composite,,,,D11,,
0909/NTC,NTC,9/9/21,R,SARS CoV-2 N1,,,0.2,0.95,0,,,13156,1,0909.NTC-3,,Negative,Composite,,,,D11,,
0909/NTC,NTC,9/9/21,R,SARS CoV-2 N2,,,0.22,1.03,0,,,11869,1,0909.NTC-4,,Negative,Composite,,,,E11,,
0909/NTC,NTC,9/9/21,R,SARS CoV-2 N1,,,0,0.66,0,,,11869,0,0909.NTC-4,,Negative,Composite,,,,E11,,
0909/NTC,NTC,9/9/21,R,SARS CoV-2 N2,,,0,0.62,0,,,12624,0,0909.NTC-5,,Negative,Composite,,,,F11,,
0909/NTC,NTC,9/9/21,R,SARS CoV-2 N1,,,0.42,1.32,0.07,,,12624,2,0909.NTC-5,,Negative,Composite,,,,F11,,
0909/NTC,NTC,9/9/21,R,SARS CoV-2 N2,,,0,0.64,0,,,12083,0,0909.NTC-6,,Negative,Composite,,,,G11,,
0909/NTC,NTC,9/9/21,R,SARS CoV-2 N1,,,0.42,1.36,0.07,,,12083,2,0909.NTC-6,,Negative,Composite,,,,G11,,
0909/NTC,NTC,9/9/21,R,SARS CoV-2 N2,,,0,0.62,0,,,12638,0,0909.NTC-7,,Negative,Composite,,,,H11,,
0909/NTC,NTC,9/9/21,R,SARS CoV-2 N1,,,0.42,1.32,0.07,,,12638,2,0909.NTC-7,,Negative,Composite,,,,H11,,
Barrick El,BARE,9/7/21,R,SARS CoV-2 N2,,50,128.26,137.28,119.02,427533.33,,15793,763,0907.BARE-1,2342.59,Positive,Composite,,,,E1,457600,396733.33
Barrick El,BARE,9/7/21,R,SARS CoV-2 N1,,50,173.8,184.58,163.24,579333.33,,15793,1026,0907.BARE-1,3860.57,Positive,Composite,,,,E1,615266.67,544133.33
Barrick El,BARE,9/7/21,R,SARS CoV-2 N2,,50,85.58,93.06,78.1,285266.67,,15375,500,0907.BARE-2,2342.59,Positive,Composite,,,,F1,310200,260333.33
Barrick El,BARE,9/7/21,R,SARS CoV-2 N1,,50,127.6,136.84,118.58,425333.33,,15375,740,0907.BARE-2,3860.57,Positive,Composite,,,,F1,456133.33,395266.67
Beltway,BW,9/6/21,R,SARS CoV-2 N2,,50,77.66,86.68,68.42,258866.67,,9412,278,0906.BW-2,2342.59,Positive,Composite,,,,A11,288933.33,228066.67
Beltway,BW,9/6/21,R,SARS CoV-2 N1,,50,89.76,99.66,80.08,299200,,9412,321,0906.BW-2,3860.57,Positive,Composite,,,,A11,332200,266933.33
Benavidez El,BENE,9/7/21,R,SARS CoV-2 N2,,50,0.35,1.1,0.04,1173.33,,15097,2,0907.BENE-1,2342.59,Negative,Composite,,,,G1,3666.67,146.67
Benavidez El,BENE,9/7/21,R,SARS CoV-2 N1,,50,0.35,1.1,0.04,1173.33,,15097,2,0907.BENE-1,3860.57,Negative,Composite,,,,G1,3666.67,146.67
Benavidez El,BENE,9/7/21,R,SARS CoV-2 N2,,50,0.86,1.85,0.31,2860,,15242,5,0907.BENE-2,2342.59,Positive,Composite,,,,H1,6160,1026.67
Benavidez El,BENE,9/7/21,R,SARS CoV-2 N1,,50,1.19,2.31,0.51,3960,,15242,7,0907.BENE-2,3860.57,Positive,Composite,,,,H1,7700,1686.67
Berry El,BERE,9/7/21,R,SARS CoV-2 N2,,50,171.6,181.94,161.04,572000,,16092,1032,0907.BERE-1,2342.59,Positive,Composite,,,,A2,606466.67,536800
Berry El,BERE,9/7/21,R,SARS CoV-2 N1,,50,198,209,187,660000,,16092,1186,0907.BERE-1,3860.57,Positive,Composite,,,,A2,696666.67,623333.33
Berry El,BERE,9/7/21,R,SARS CoV-2 N2,,50,126.06,135.3,117.04,420200,,15134,720,0907.BERE-2,2342.59,Positive,Composite,,,,B2,451000,390133.33
Berry El,BERE,9/7/21,R,SARS CoV-2 N1,,50,155.32,165.44,144.98,517733.33,,15134,881,0907.BERE-2,3860.57,Positive,Composite,,,,B2,551466.67,483266.67
Braeburn El,BRAE,9/7/21,R,SARS CoV-2 N2,,50,0,0.55,0,0,,14226,0,0907.BRAE-1,2342.59,Negative,Composite,,,,C2,1833.33,0
Braeburn El,BRAE,9/7/21,R,SARS CoV-2 N1,,50,0,0.55,0,0,,14226,0,0907.BRAE-1,3860.57,Negative,Composite,,,,C2,1833.33,0
Braeburn El,BRAE,9/7/21,R,SARS CoV-2 N2,,50,0,0.51,0,0,,15599,0,0907.BRAE-2,2342.59,Negative,Composite,,,,D2,1686.67,0
Braeburn El,BRAE,9/7/21,R,SARS CoV-2 N1,,50,0,0.51,0,0,,15599,0,0907.BRAE-2,3860.57,Negative,Composite,,,,D2,1686.67,0
Briscoe El,BRIE,9/7/21,R,SARS CoV-2 N2,,50,0,0.57,0,0,,13764,0,0907.BRIE-1,2342.59,Negative,Composite,,,,E2,1906.67,0
Briscoe El,BRIE,9/7/21,R,SARS CoV-2 N1,,50,0.2,0.9,0,660,,13764,1,0907.BRIE-1,3860.57,Negative,Composite,,,,E2,3006.67,0
Briscoe El,BRIE,9/7/21,R,SARS CoV-2 N2,,50,0,0.46,0,0,,16473,0,0907.BRIE-2,2342.59,Negative,Composite,,,,F2,1540,0
Briscoe El,BRIE,9/7/21,R,SARS CoV-2 N1,,50,0,0.46,0,0,,16473,0,0907.BRIE-2,3860.57,Negative,Composite,,,,F2,1540,0
Burnet El,BURE,9/7/21,R,SARS CoV-2 N2,,50,0,0.48,0,0,,15950,0,0907.BURE-1,2342.59,Negative,Composite,,,,G2,1613.33,0
Burnet El,BURE,9/7/21,R,SARS CoV-2 N1,,50,0.15,0.77,0,513.33,,15950,1,0907.BURE-1,3860.57,Negative,Composite,,,,G2,2566.67,0
Burnet El,BURE,9/7/21,R,SARS CoV-2 N2,,50,0,0.55,0,0,,14208,0,0907.BURE-2,2342.59,Negative,Composite,,,,H2,1833.33,0
Burnet El,BURE,9/7/21,R,SARS CoV-2 N1,,50,0,0.55,0,0,,14208,0,0907.BURE-2,3860.57,Negative,Composite,,,,H2,1833.33,0
Challenge Early College H S,CHLS,9/7/21,R,SARS CoV-2 N2,,50,0,0.55,0,0,,14346,0,0907.CHLS-1,2342.59,Negative,Composite,,,,A3,1833.33,0
Challenge Early College H S,CHLS,9/7/21,R,SARS CoV-2 N1,,50,0,0.55,0,0,,14346,0,0907.CHLS-1,3860.57,Negative,Composite,,,,A3,1833.33,0
Challenge Early College H S,CHLS,9/7/21,R,SARS CoV-2 N2,,50,0.35,1.1,0.04,1173.33,,15009,2,0907.CHLS-2,2342.59,Negative,Composite,,,,B3,3666.67,146.67
Challenge Early College H S,CHLS,9/7/21,R,SARS CoV-2 N1,,50,0.68,1.63,0.2,2273.33,,15009,4,0907.CHLS-2,3860.57,Negative,Composite,,,,B3,5426.67,660
