Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
0908/Blank,Blank,09/08/21,R,SARS CoV-2 N2,,,0,0.62,0,,,12809,0,0908.Blank-1,,Negative,Composite,,,,C1,,
0908/Blank,Blank,09/08/21,R,SARS CoV-2 N1,,,0.2,0.97,0,,,12809,1,0908.Blank-1,,Negative,Composite,,,,C1,,
0908/Blank,Blank,09/08/21,R,SARS CoV-2 N2,,,0,0.57,0,,,13405,0,0908.Blank-2,,Negative,Composite,,,,D1,,
0908/Blank,Blank,09/08/21,R,SARS CoV-2 N1,,,0,0.57,0,,,13405,0,0908.Blank-2,,Negative,Composite,,,,D1,,
0908/DI,DI,09/08/21,R,SARS CoV-2 N2,,50,0,0.66,0,0,,11822,0,0908.DI-1,1613.33,Negative,Composite,,,,A1,2200,0
0908/DI,DI,09/08/21,R,SARS CoV-2 N1,,50,0,0.66,0,0,,11822,0,0908.DI-1,1906.67,Negative,Composite,,,,A1,2200,0
0908/DI,DI,09/08/21,R,SARS CoV-2 N2,,50,0,0.57,0,0,,13387,0,0908.DI-2,1613.33,Negative,Composite,,,,B1,1906.67,0
0908/DI,DI,09/08/21,R,SARS CoV-2 N1,,50,0,0.57,0,0,,13387,0,0908.DI-2,1906.67,Negative,Composite,,,,B1,1906.67,0
0909/NTC,NTC,09/09/21,R,SARS CoV-2 N2,,,0,0.64,0,,,12161,0,0909.NTC-1,,Negative,Composite,,,,G9,,
0909/NTC,NTC,09/09/21,R,SARS CoV-2 N1,,,0,0.64,0,,,12161,0,0909.NTC-1,,Negative,Composite,,,,G9,,
0909/NTC,NTC,09/09/21,R,SARS CoV-2 N2,,,0,0.86,0,,,9068,0,0909.NTC-2,,Negative,Composite,,,,H9,,
0909/NTC,NTC,09/09/21,R,SARS CoV-2 N1,,,0,0.86,0,,,9068,0,0909.NTC-2,,Negative,Composite,,,,H9,,
Afton Oaks,AO,09/08/21,R,SARS CoV-2 N2,,50,0,0.51,0,0,,15252,0,0908.AO-1,1613.33,Negative,Composite,,,,E1,1686.67,0
Afton Oaks,AO,09/08/21,R,SARS CoV-2 N1,,50,0.18,0.81,0,586.67,,15252,1,0908.AO-1,1906.67,Negative,Composite,,,,E1,2713.33,0
Afton Oaks,AO,09/08/21,R,SARS CoV-2 N2,,50,0,0.62,0,0,,12764,0,0908.AO-2,1613.33,Negative,Composite,,,,F1,2053.33,0
Afton Oaks,AO,09/08/21,R,SARS CoV-2 N1,,50,0,0.62,0,0,,12764,0,0908.AO-2,1906.67,Negative,Composite,,,,F1,2053.33,0
Arden Place,AP,09/08/21,R,SARS CoV-2 N2,,50,0,0.51,0,0,,15342,0,0908.AP-1,1613.33,Negative,Composite,,,,G1,1686.67,0
Arden Place,AP,09/08/21,R,SARS CoV-2 N1,,50,0,0.51,0,0,,15342,0,0908.AP-1,1906.67,Negative,Composite,,,,G1,1686.67,0
Arden Place,AP,09/08/21,R,SARS CoV-2 N2,,50,0,0.57,0,0,,13763,0,0908.AP-2,1613.33,Negative,Composite,,,,H1,1906.67,0
Arden Place,AP,09/08/21,R,SARS CoV-2 N1,,50,0,0.57,0,0,,13763,0,0908.AP-2,1906.67,Negative,Composite,,,,H1,1906.67,0
Arden Wood,AW,09/08/21,R,SARS CoV-2 N2,,50,0,0.62,0,0,,12647,0,0908.AW-1,1613.33,Negative,Composite,,,,A2,2053.33,0
Arden Wood,AW,09/08/21,R,SARS CoV-2 N1,,50,0,0.62,0,0,,12647,0,0908.AW-1,1906.67,Negative,Composite,,,,A2,2053.33,0
Arden Wood,AW,09/08/21,R,SARS CoV-2 N2,,50,0,0.53,0,0,,14988,0,0908.AW-2,1613.33,Negative,Composite,,,,B2,1760,0
Arden Wood,AW,09/08/21,R,SARS CoV-2 N1,,50,0.18,0.81,0,586.67,,14988,1,0908.AW-2,1906.67,Negative,Composite,,,,B2,2713.33,0
Bonner El,BONE,09/07/21,R,SARS CoV-2 N2,,50,14.96,18.92,11.66,49866.67,,11900,69,0907.BONE-1,1613.33,Positive,Composite,,,,A7,63066.67,38866.67
Bonner El,BONE,09/07/21,R,SARS CoV-2 N1,,50,16.06,20.02,12.76,53533.33,,11900,74,0907.BONE-1,1906.67,Positive,Composite,,,,A7,66733.33,42533.33
Bonner El,BONE,09/07/21,R,SARS CoV-2 N2,,50,11,14.52,8.14,36666.67,,11474,49,0907.BONE-2,1613.33,Positive,Composite,,,,B7,48400,27133.33
Bonner El,BONE,09/07/21,R,SARS CoV-2 N1,,50,12.98,16.5,9.9,43266.67,,11474,57,0907.BONE-2,1906.67,Positive,Composite,,,,B7,55000,33000
Brookline El,BROE,09/07/21,R,SARS CoV-2 N2,,50,45.98,52.36,39.6,153266.67,,11244,198,0907.BROE-1,1613.33,Positive,Composite,,,,C7,174533.33,132000
Brookline El,BROE,09/07/21,R,SARS CoV-2 N1,,50,46.2,52.58,39.82,154000,,11244,199,0907.BROE-1,1906.67,Positive,Composite,,,,C7,175266.67,132733.33
Brookline El,BROE,09/07/21,R,SARS CoV-2 N2,,50,41.14,47.08,35.42,137133.33,,12339,195,0907.BROE-2,1613.33,Positive,Composite,,,,D7,156933.33,118066.67
Brookline El,BROE,09/07/21,R,SARS CoV-2 N1,,50,49.28,55.66,43.12,164266.67,,12339,233,0907.BROE-2,1906.67,Positive,Composite,,,,D7,185533.33,143733.33
Catholic Charities Villa Guadalupe,CCV,09/08/21,R,SARS CoV-2 N2,,50,0.48,1.3,0.11,1613.33,,15869,3,0908.CCV-1,1613.33,Positive,Composite,,,,E2,4326.67,366.67
Catholic Charities Villa Guadalupe,CCV,09/08/21,R,SARS CoV-2 N1,,50,0.97,2,0.37,3226.67,,15869,6,0908.CCV-1,1906.67,Positive,Composite,,,,E2,6673.33,1246.67
Catholic Charities Villa Guadalupe,CCV,09/08/21,R,SARS CoV-2 N2,,50,0,0.51,0,0,,15183,0,0908.CCV-2,1613.33,Negative,Composite,,,,F2,1686.67,0
Catholic Charities Villa Guadalupe,CCV,09/08/21,R,SARS CoV-2 N1,,50,0.33,1.1,0.04,1100,,15183,2,0908.CCV-2,1906.67,Negative,Composite,,,,F2,3666.67,146.67
Chavez H S,CHVS,09/07/21,R,SARS CoV-2 N2,,50,321.2,341,303.6,1070666.67,,10793,1263,0907.CHVS-1,1613.33,Positive,Composite,,,,E7,1136666.67,1012000
Chavez H S,CHVS,09/07/21,R,SARS CoV-2 N1,,50,367.4,387.2,349.8,1224666.67,,10793,1432,0907.CHVS-1,1906.67,Positive,Composite,,,,E7,1290666.67,1166000
Chavez H S,CHVS,09/07/21,R,SARS CoV-2 N2,,50,341,358.6,323.4,1136666.67,,12824,1582,0907.CHVS-2,1613.33,Positive,Composite,,,,F7,1195333.33,1078000
Chavez H S,CHVS,09/07/21,R,SARS CoV-2 N1,,50,385,402.6,367.4,1283333.33,,12824,1772,0907.CHVS-2,1906.67,Positive,Composite,,,,F7,1342000,1224666.67
Cornelius El,CORE,09/07/21,R,SARS CoV-2 N2,,50,0,0.57,0,0,,13338,0,0907.CORE-1,1613.33,Negative,Composite,,,,G7,1906.67,0
Cornelius El,CORE,09/07/21,R,SARS CoV-2 N1,,50,0,0.57,0,0,,13338,0,0907.CORE-1,1906.67,Negative,Composite,,,,G7,1906.67,0
Cornelius El,CORE,09/07/21,R,SARS CoV-2 N2,,50,0,0.53,0,0,,14710,0,0907.CORE-2,1613.33,Negative,Composite,,,,H7,1760,0
Cornelius El,CORE,09/07/21,R,SARS CoV-2 N1,,50,0.18,0.84,0,586.67,,14710,1,0907.CORE-2,1906.67,Negative,Composite,,,,H7,2786.67,0
Covenant House Emergency Crisis Shelter,CHEC,09/08/21,R,SARS CoV-2 N2,,50,4.84,6.82,3.08,16133.33,,14187,26,0908.CHEC-1,1613.33,Positive,Composite,,,,G2,22733.33,10266.67
Covenant House Emergency Crisis Shelter,CHEC,09/08/21,R,SARS CoV-2 N1,,50,5.28,7.48,3.52,17600,,14187,29,0908.CHEC-1,1906.67,Positive,Composite,,,,G2,24933.33,11733.33
Covenant House Emergency Crisis Shelter,CHEC,09/08/21,R,SARS CoV-2 N2,,50,4.18,6.16,2.64,13933.33,,12580,20,0908.CHEC-2,1613.33,Positive,Composite,,,,H2,20533.33,8800
Covenant House Emergency Crisis Shelter,CHEC,09/08/21,R,SARS CoV-2 N1,,50,4.84,7.04,3.08,16133.33,,12580,23,0908.CHEC-2,1906.67,Positive,Composite,,,,H2,23466.67,10266.67
Crespo El,CREE,09/07/21,R,SARS CoV-2 N2,,50,5.72,8.14,3.96,19066.67,,13012,29,0907.CREE-1,1613.33,Positive,Composite,,,,A8,27133.33,13200
Crespo El,CREE,09/07/21,R,SARS CoV-2 N1,,50,5.28,7.48,3.52,17600,,13012,26,0907.CREE-1,1906.67,Positive,Composite,,,,A8,24933.33,11733.33
Crespo El,CREE,09/07/21,R,SARS CoV-2 N2,,50,5.72,8.14,3.96,19066.67,,13505,30,0907.CREE-2,1613.33,Positive,Composite,,,,B8,27133.33,13200
