Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
0913/Blank,Blank,09/13/21,R,SARS CoV-2 N2,,,0,0.51,0,,,15443,0,0913.Blank-1,,Negative,Composite,,,,C1,,
0913/Blank,Blank,09/13/21,R,SARS CoV-2 N1,,,0,0.51,0,,,15443,0,0913.Blank-1,,Negative,Composite,,,,C1,,
0913/Blank,Blank,09/13/21,R,SARS CoV-2 N2,,,0.18,0.84,0,,,14852,1,0913.Blank-2,,Negative,Composite,,,,D1,,
0913/Blank,Blank,09/13/21,R,SARS CoV-2 N1,,,0,0.53,0,,,14852,0,0913.Blank-2,,Negative,Composite,,,,D1,,
0913/DI,DI,09/13/21,R,SARS CoV-2 N2,,50,0,0.48,0,0,,15827,0,0913.DI-1,2333.33,Negative,Composite,,,,A1,1613.33,0
0913/DI,DI,09/13/21,R,SARS CoV-2 N1,,50,0,0.48,0,0,,15827,0,0913.DI-1,4016.29,Negative,Composite,,,,A1,1613.33,0
0913/DI,DI,09/13/21,R,SARS CoV-2 N2,,50,0,0.48,0,0,,15881,0,0913.DI-2,2333.33,Negative,Composite,,,,B1,1613.33,0
0913/DI,DI,09/13/21,R,SARS CoV-2 N1,,50,0.48,1.3,0.11,1613.33,,15881,3,0913.DI-2,4016.29,Negative,Composite,,,,B1,4326.67,366.67
0915/NTC,NTC,09/15/21,R,SARS CoV-2 N2,,,0,0.55,0,,,14001,0,0915.NTC-1,,Negative,Composite,,,,A11,,
0915/NTC,NTC,09/15/21,R,SARS CoV-2 N1,,,0.37,1.19,0.07,,,14001,2,0915.NTC-1,,Negative,Composite,,,,A11,,
0915/NTC,NTC,09/15/21,R,SARS CoV-2 N2,,,0,0.55,0,,,14179,0,0915.NTC-2,,Negative,Composite,,,,B11,,
0915/NTC,NTC,09/15/21,R,SARS CoV-2 N1,,,0.55,1.45,0.13,,,14179,3,0915.NTC-2,,Negative,Composite,,,,B11,,
0915/NTC,NTC,09/15/21,R,SARS CoV-2 N2,,,0,0.68,0,,,11446,0,0915.NTC-3,,Negative,Composite,,,,C11,,
0915/NTC,NTC,09/15/21,R,SARS CoV-2 N1,,,0.46,1.45,0.07,,,11446,2,0915.NTC-3,,Negative,Composite,,,,C11,,
0915/NTC,NTC,09/15/21,R,SARS CoV-2 N2,,,0,0.53,0,,,14951,0,0915.NTC-4,,Negative,Composite,,,,D11,,
0915/NTC,NTC,09/15/21,R,SARS CoV-2 N1,,,0,0.53,0,,,14951,0,0915.NTC-4,,Negative,Composite,,,,D11,,
0915/NTC,NTC,09/15/21,R,SARS CoV-2 N2,,,0,0.62,0,,,12505,0,0915.NTC-5,,Negative,Composite,,,,E11,,
0915/NTC,NTC,09/15/21,R,SARS CoV-2 N1,,,0,0.62,0,,,12505,0,0915.NTC-5,,Negative,Composite,,,,E11,,
0915/NTC,NTC,09/15/21,R,SARS CoV-2 N2,,,0,0.64,0,,,12138,0,0915.NTC-6,,Negative,Composite,,,,F11,,
0915/NTC,NTC,09/15/21,R,SARS CoV-2 N1,,,0.42,1.36,0.07,,,12138,2,0915.NTC-6,,Negative,Composite,,,,F11,,
0915/NTC,NTC,09/15/21,R,SARS CoV-2 N2,,,0,0.51,0,,,15226,0,0915.NTC-7,,Negative,Composite,,,,G11,,
0915/NTC,NTC,09/15/21,R,SARS CoV-2 N1,,,0.51,1.34,0.13,,,15226,3,0915.NTC-7,,Negative,Composite,,,,G11,,
0915/NTC,NTC,09/15/21,R,SARS CoV-2 N2,,,0,0.66,0,,,11727,0,0915.NTC-8,,Negative,Composite,,,,H11,,
0915/NTC,NTC,09/15/21,R,SARS CoV-2 N1,,,0,0.66,0,,,11727,0,0915.NTC-8,,Negative,Composite,,,,H11,,
Afton Village,AFVI,09/13/21,R,SARS CoV-2 N2,,50,15.4,18.7,12.32,51333.33,,14599,86,0913.AFVI-1,2333.33,Positive,Composite,,,,E1,62333.33,41066.67
Afton Village,AFVI,09/13/21,R,SARS CoV-2 N1,,50,17.16,20.9,14.08,57200,,14599,97,0913.AFVI-1,4016.29,Positive,Composite,,,,E1,69666.67,46933.33
Afton Village,AFVI,09/13/21,R,SARS CoV-2 N2,,50,11.22,14.08,8.8,37400,,16316,71,0913.AFVI-2,2333.33,Positive,Composite,,,,F1,46933.33,29333.33
Afton Village,AFVI,09/13/21,R,SARS CoV-2 N1,,50,11.66,14.52,9.24,38866.67,,16316,73,0913.AFVI-2,4016.29,Positive,Composite,,,,F1,48400,30800
Alief Central FN545,ALIEF,09/13/21,R,SARS CoV-2 N2,,50,12.1,14.96,9.46,40333.33,,15896,74,0913.ALIEF-1,2333.33,Positive,Composite,,,,G1,49866.67,31533.33
Alief Central FN545,ALIEF,09/13/21,R,SARS CoV-2 N1,,50,13.42,16.5,10.78,44733.33,,15896,82,0913.ALIEF-1,4016.29,Positive,Composite,,,,G1,55000,35933.33
Alief Central FN545,ALIEF,09/13/21,R,SARS CoV-2 N2,,50,12.1,15.18,9.68,40333.33,,15300,72,0913.ALIEF-2,2333.33,Positive,Composite,,,,H1,50600,32266.67
