Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
0927/Blank,Blank,09/27/21,R,SARS CoV-2 N2,,,0,0.57,0,,,13726,0,0927.Blank-3,,Negative,Composite,,,,C1,,
0927/Blank,Blank,09/27/21,R,SARS CoV-2 N1,,,0,0.57,0,,,13726,0,0927.Blank-3,,Negative,Composite,,,,C1,,
0927/Blank,Blank,09/27/21,R,SARS CoV-2 N2,,,0,0.55,0,,,14093,0,0927.Blank-4,,Negative,Composite,,,,D1,,
0927/Blank,Blank,09/27/21,R,SARS CoV-2 N1,,,0.18,0.88,0,,,14093,1,0927.Blank-4,,Negative,Composite,,,,D1,,
0927/DI,DI,09/27/21,R,SARS CoV-2 N2,,50,0,0.59,0,0,,13012,0,0927.DI-3,2333.33,Negative,Composite,,,,A1,1980,0
0927/DI,DI,09/27/21,R,SARS CoV-2 N1,,50,0.2,0.95,0,660,,13012,1,0927.DI-3,3579.73,Negative,Composite,,,,A1,3153.33,0
0927/DI,DI,09/27/21,R,SARS CoV-2 N2,,50,0,0.57,0,0,,13340,0,0927.DI-4,2333.33,Negative,Composite,,,,B1,1906.67,0
0927/DI,DI,09/27/21,R,SARS CoV-2 N1,,50,0.2,0.92,0,660,,13340,1,0927.DI-4,3579.73,Negative,Composite,,,,B1,3080,0
0929/NTC,NTC,09/29/21,R,SARS CoV-2 N2,,,0,0.64,0,,,12103,0,0929.NTC-1,,Negative,Composite,,,,A11,,
0929/NTC,NTC,09/29/21,R,SARS CoV-2 N1,,,0.22,1.01,0,,,12103,1,0929.NTC-1,,Negative,Composite,,,,A11,,
0929/NTC,NTC,09/29/21,R,SARS CoV-2 N2,,,0,0.68,0,,,11203,0,0929.NTC-2,,Negative,Composite,,,,B11,,
0929/NTC,NTC,09/29/21,R,SARS CoV-2 N1,,,0,0.68,0,,,11203,0,0929.NTC-2,,Negative,Composite,,,,B11,,
0929/NTC,NTC,09/29/21,R,SARS CoV-2 N2,,,0,0.64,0,,,12003,0,0929.NTC-3,,Negative,Composite,,,,C11,,
0929/NTC,NTC,09/29/21,R,SARS CoV-2 N1,,,0.22,1.03,0,,,12003,1,0929.NTC-3,,Negative,Composite,,,,C11,,
0929/NTC,NTC,09/29/21,R,SARS CoV-2 N2,,,0,0.75,0,,,10375,0,0929.NTC-4,,Negative,Composite,,,,D11,,
0929/NTC,NTC,09/29/21,R,SARS CoV-2 N1,,,0,0.75,0,,,10375,0,0929.NTC-4,,Negative,Composite,,,,D11,,
