Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
0928/Blank,Blank,09/28/21,R,SARS CoV-2 N2,,,0,0.59,0,,,13217,0,0928.Blank-1,,Negative,Composite,,,,C1,,
0928/Blank,Blank,09/28/21,R,SARS CoV-2 N1,,,0,0.59,0,,,13217,0,0928.Blank-1,,Negative,Composite,,,,C1,,
0928/Blank,Blank,09/28/21,R,SARS CoV-2 N2,,,0,0.53,0,,,14885,0,0928.Blank-2,,Negative,Composite,,,,D1,,
0928/Blank,Blank,09/28/21,R,SARS CoV-2 N1,,,0,0.53,0,,,14885,0,0928.Blank-2,,Negative,Composite,,,,D1,,
0928/DI,DI,09/28/21,R,SARS CoV-2 N2,,50,0,0.59,0,0,,13001,0,0928.DI-1,1870,Negative,Composite,,,,A1,1980,0
0928/DI,DI,09/28/21,R,SARS CoV-2 N1,,50,0.2,0.95,0,660,,13001,1,0928.DI-1,3321.29,Negative,Composite,,,,A1,3153.33,0
0928/DI,DI,09/28/21,R,SARS CoV-2 N2,,50,0,0.59,0,0,,12832,0,0928.DI-2,1870,Negative,Composite,,,,B1,1980,0
0928/DI,DI,09/28/21,R,SARS CoV-2 N1,,50,0.2,0.97,0,660,,12832,1,0928.DI-2,3321.29,Negative,Composite,,,,B1,3226.67,0
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N2,,,0,0.59,0,,,13005,0,0930.NTC-1,,Negative,Composite,,,,F11,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N1,,,0.2,0.95,0,,,13005,1,0930.NTC-1,,Negative,Composite,,,,F11,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N2,,,0,0.64,0,,,12087,0,0930.NTC-2,,Negative,Composite,,,,G11,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N1,,,0.42,1.36,0.07,,,12087,2,0930.NTC-2,,Negative,Composite,,,,G11,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N2,,,0,0.51,0,,,15415,0,0930.NTC-3,,Negative,Composite,,,,H11,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N1,,,0,0.51,0,,,15415,0,0930.NTC-3,,Negative,Composite,,,,H11,,
Barrick El,BARE,09/28/21,R,SARS CoV-2 N2,,50,2.2,3.74,1.32,7333.33,,14611,13,0928.BARE-1,1870,Positive,Composite,,,,E1,12466.67,4400
Barrick El,BARE,09/28/21,R,SARS CoV-2 N1,,50,2.2,3.74,1.32,7333.33,,14611,13,0928.BARE-1,3321.29,Positive,Composite,,,,E1,12466.67,4400
Barrick El,BARE,09/28/21,R,SARS CoV-2 N2,,50,2.42,3.96,1.32,8066.67,,15069,14,0928.BARE-2,1870,Positive,Composite,,,,F1,13200,4400
Barrick El,BARE,09/28/21,R,SARS CoV-2 N1,,50,3.52,5.28,2.2,11733.33,,15069,20,0928.BARE-2,3321.29,Positive,Composite,,,,F1,17600,7333.33
Berry El,BERE,09/28/21,R,SARS CoV-2 N2,,50,0.2,0.92,0,660,,13362,1,0928.BERE-1,1870,Negative,Composite,,,,G1,3080,0
Berry El,BERE,09/28/21,R,SARS CoV-2 N1,,50,0.2,0.92,0,660,,13362,1,0928.BERE-1,3321.29,Negative,Composite,,,,G1,3080,0
Berry El,BERE,09/28/21,R,SARS CoV-2 N2,,50,0.18,0.86,0,586.67,,14262,1,0928.BERE-2,1870,Negative,Composite,,,,H1,2860,0
Berry El,BERE,09/28/21,R,SARS CoV-2 N1,,50,0.18,0.86,0,586.67,,14262,1,0928.BERE-2,3321.29,Negative,Composite,,,,H1,2860,0
Bonner El,BONE,09/28/21,R,SARS CoV-2 N2,,50,1.63,2.88,0.81,5426.67,,15818,10,0928.BONE-1,1870,Positive,Composite,,,,A2,9606.67,2713.33
Bonner El,BONE,09/28/21,R,SARS CoV-2 N1,,50,1.32,2.44,0.59,4400,,15818,8,0928.BONE-1,3321.29,Positive,Composite,,,,A2,8140,1980
Bonner El,BONE,09/28/21,R,SARS CoV-2 N2,,50,4.4,6.38,2.86,14666.67,,13733,23,0928.BONE-2,1870,Positive,Composite,,,,B2,21266.67,9533.33
Bonner El,BONE,09/28/21,R,SARS CoV-2 N1,,50,4.18,6.16,2.64,13933.33,,13733,22,0928.BONE-2,3321.29,Positive,Composite,,,,B2,20533.33,8800
Briscoe El,BRIE,09/28/21,R,SARS CoV-2 N2,,50,0,0.44,0,0,,17550,0,0928.BRIE-1,1870,Negative,Composite,,,,C2,1466.67,0
Briscoe El,BRIE,09/28/21,R,SARS CoV-2 N1,,50,0,0.44,0,0,,17550,0,0928.BRIE-1,3321.29,Negative,Composite,,,,C2,1466.67,0
Briscoe El,BRIE,09/28/21,R,SARS CoV-2 N2,,50,0,0.55,0,0,,14229,0,0928.BRIE-2,1870,Negative,Composite,,,,D2,1833.33,0
Briscoe El,BRIE,09/28/21,R,SARS CoV-2 N1,,50,0.18,0.86,0,586.67,,14229,1,0928.BRIE-2,3321.29,Negative,Composite,,,,D2,2860,0
Brookline El,BROE,09/28/21,R,SARS CoV-2 N2,,50,27.28,31.9,22.88,90933.33,,13623,143,0928.BROE-1,1870,Positive,Composite,,,,E2,106333.33,76266.67
Brookline El,BROE,09/28/21,R,SARS CoV-2 N1,,50,22.66,26.84,18.7,75533.33,,13623,119,0928.BROE-1,3321.29,Positive,Composite,,,,E2,89466.67,62333.33
Brookline El,BROE,09/28/21,R,SARS CoV-2 N2,,50,73.26,80.52,66,244200,,13944,389,0928.BROE-2,1870,Positive,Composite,,,,F2,268400,220000
Brookline El,BROE,09/28/21,R,SARS CoV-2 N1,,50,74.58,81.84,67.32,248600,,13944,396,0928.BROE-2,3321.29,Positive,Composite,,,,F2,272800,224400
Burnet El,BURE,09/28/21,R,SARS CoV-2 N2,,50,0,0.53,0,0,,14994,0,0928.BURE-1,1870,Negative,Composite,,,,G2,1760,0
Burnet El,BURE,09/28/21,R,SARS CoV-2 N1,,50,0.18,0.81,0,586.67,,14994,1,0928.BURE-1,3321.29,Negative,Composite,,,,G2,2713.33,0
Burnet El,BURE,09/28/21,R,SARS CoV-2 N2,,50,0,0.48,0,0,,16018,0,0928.BURE-2,1870,Negative,Composite,,,,H2,1613.33,0
Burnet El,BURE,09/28/21,R,SARS CoV-2 N1,,50,0,0.48,0,0,,16018,0,0928.BURE-2,3321.29,Negative,Composite,,,,H2,1613.33,0
Chavez H S,CHVS,09/28/21,R,SARS CoV-2 N2,,50,7.26,9.68,5.28,24200,,14777,41,0928.CHVS-1,1870,Positive,Composite,,,,A3,32266.67,17600
Chavez H S,CHVS,09/28/21,R,SARS CoV-2 N1,,50,7.7,10.34,5.72,25666.67,,14777,44,0928.CHVS-1,3321.29,Positive,Composite,,,,A3,34466.67,19066.67
Chavez H S,CHVS,09/28/21,R,SARS CoV-2 N2,,50,4.84,7.04,3.3,16133.33,,13139,25,0928.CHVS-2,1870,Positive,Composite,,,,B3,23466.67,11000
Chavez H S,CHVS,09/28/21,R,SARS CoV-2 N1,,50,5.06,7.26,3.3,16866.67,,13139,26,0928.CHVS-2,3321.29,Positive,Composite,,,,B3,24200,11000
Coop El,COOE,09/28/21,R,SARS CoV-2 N2,,50,9.68,12.32,7.48,32266.67,,16443,61,0928.COOE-1,1870,Positive,Composite,,,,C3,41066.67,24933.33
Coop El,COOE,09/28/21,R,SARS CoV-2 N1,,50,11.44,14.3,9.02,38133.33,,16443,72,0928.COOE-1,3321.29,Positive,Composite,,,,C3,47666.67,30066.67
Coop El,COOE,09/28/21,R,SARS CoV-2 N2,,50,8.8,11.66,6.6,29333.33,,14341,49,0928.COOE-2,1870,Positive,Composite,,,,D3,38866.67,22000
Coop El,COOE,09/28/21,R,SARS CoV-2 N1,,50,8.36,11,6.16,27866.67,,14341,46,0928.COOE-2,3321.29,Positive,Composite,,,,D3,36666.67,20533.33
Cornelius El,CORE,09/28/21,R,SARS CoV-2 N2,,50,0,0.68,0,0,,11293,0,0928.CORE-1,1870,Negative,Composite,,,,E3,2273.33,0
Cornelius El,CORE,09/28/21,R,SARS CoV-2 N1,,50,0.22,1.1,0,733.33,,11293,1,0928.CORE-1,3321.29,Negative,Composite,,,,E3,3666.67,0
Cornelius El,CORE,09/28/21,R,SARS CoV-2 N2,,50,0,0.57,0,0,,13718,0,0928.CORE-2,1870,Negative,Composite,,,,F3,1906.67,0
Cornelius El,CORE,09/28/21,R,SARS CoV-2 N1,,50,0,0.57,0,0,,13718,0,0928.CORE-2,3321.29,Negative,Composite,,,,F3,1906.67,0
Crespo El,CREE,09/28/21,R,SARS CoV-2 N2,,50,0,0.57,0,0,,13708,0,0928.CREE-1,1870,Negative,Composite,,,,G3,1906.67,0
Crespo El,CREE,09/28/21,R,SARS CoV-2 N1,,50,0,0.57,0,0,,13708,0,0928.CREE-1,3321.29,Negative,Composite,,,,G3,1906.67,0
Crespo El,CREE,09/28/21,R,SARS CoV-2 N2,,50,0,0.55,0,0,,13935,0,0928.CREE-2,1870,Negative,Composite,,,,H3,1833.33,0
Crespo El,CREE,09/28/21,R,SARS CoV-2 N1,,50,0.18,0.88,0,586.67,,13935,1,0928.CREE-2,3321.29,Negative,Composite,,,,H3,2933.33,0
Davila El,DAVE,09/28/21,R,SARS CoV-2 N2,,50,0,0.53,0,0,,14743,0,0928.DAVE-1,1870,Negative,Composite,,,,A4,1760,0
Davila El,DAVE,09/28/21,R,SARS CoV-2 N1,,50,0.35,1.12,0.04,1173.33,,14743,2,0928.DAVE-1,3321.29,Negative,Composite,,,,A4,3740,146.67
Davila El,DAVE,09/28/21,R,SARS CoV-2 N2,,50,0,0.57,0,0,,13532,0,0928.DAVE-2,1870,Negative,Composite,,,,B4,1906.67,0
Davila El,DAVE,09/28/21,R,SARS CoV-2 N1,,50,0,0.57,0,0,,13532,0,0928.DAVE-2,3321.29,Negative,Composite,,,,B4,1906.67,0
De Chaumes El,DECE,09/28/21,R,SARS CoV-2 N2,,50,7.48,9.9,5.28,24933.33,,14315,41,0928.DECE-1,1870,Positive,Composite,,,,E4,33000,17600
De Chaumes El,DECE,09/28/21,R,SARS CoV-2 N1,,50,8.8,11.44,6.38,29333.33,,14315,48,0928.DECE-1,3321.29,Positive,Composite,,,,E4,38133.33,21266.67
De Chaumes El,DECE,09/28/21,R,SARS CoV-2 N2,,50,6.16,8.36,4.18,20533.33,,14379,34,0928.DECE-2,1870,Positive,Composite,,,,F4,27866.67,13933.33
