Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
0929/Blank,Blank,09/29/21,R,SARS CoV-2 N2,,,0,0.48,0,,,16194,0,0929.Blank-1,,Negative,Composite,,,,C1,,
0929/Blank,Blank,09/29/21,R,SARS CoV-2 N1,,,0,0.48,0,,,16194,0,0929.Blank-1,,Negative,Composite,,,,C1,,
0929/Blank,Blank,09/29/21,R,SARS CoV-2 N2,,,0,0.53,0,,,14840,0,0929.Blank-2,,Negative,Composite,,,,D1,,
0929/Blank,Blank,09/29/21,R,SARS CoV-2 N1,,,0.18,0.84,0,,,14840,1,0929.Blank-2,,Negative,Composite,,,,D1,,
0929/DI,DI,09/29/21,R,SARS CoV-2 N2,,50,0,0.55,0,0,,14250,0,0929.DI-1,2488.41,Negative,Composite,,,,A1,1833.33,0
0929/DI,DI,09/29/21,R,SARS CoV-2 N1,,50,0,0.55,0,0,,14250,0,0929.DI-1,3147.45,Negative,Composite,,,,A1,1833.33,0
0929/DI,DI,09/29/21,R,SARS CoV-2 N2,,50,0,0.48,0,0,,15689,0,0929.DI-2,2488.41,Negative,Composite,,,,B1,1613.33,0
0929/DI,DI,09/29/21,R,SARS CoV-2 N1,,50,0,0.48,0,0,,15689,0,0929.DI-2,3147.45,Negative,Composite,,,,B1,1613.33,0
0930/gstdFluAB,gstdFluAB,09/30/21,R,SARS CoV-2 N2,,,10.34,13.2,8.14,,,16497,66,0930.gstdFluAB-1,,Positive,Composite,,,,G9,,
0930/gstdFluAB,gstdFluAB,09/30/21,R,SARS CoV-2 N1,,,9.68,12.1,7.48,,,16497,61,0930.gstdFluAB-1,,Positive,Composite,,,,G9,,
0930/gstdFluAB,gstdFluAB,09/30/21,R,SARS CoV-2 N2,,,11.44,14.52,8.8,,,13462,59,0930.gstdFluAB-2,,Positive,Composite,,,,H9,,
0930/gstdFluAB,gstdFluAB,09/30/21,R,SARS CoV-2 N1,,,12.76,16.06,9.9,,,13462,66,0930.gstdFluAB-2,,Positive,Composite,,,,H9,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N2,,,0,0.53,0,,,14507,0,0930.NTC-1,,Negative,Composite,,,,A10,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N1,,,0,0.53,0,,,14507,0,0930.NTC-1,,Negative,Composite,,,,A10,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N2,,,0,0.55,0,,,14078,0,0930.NTC-2,,Negative,Composite,,,,B10,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N2,,,0.22,1.1,0,,,11297,1,0930.NTC-2,,Negative,Composite,,,,F6,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N1,,,0,0.55,0,,,14078,0,0930.NTC-2,,Negative,Composite,,,,B10,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N1,,,0.46,1.47,0.07,,,11297,2,0930.NTC-2,,Negative,Composite,,,,F6,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N2,,,0,0.53,0,,,14491,0,0930.NTC-3,,Negative,Composite,,,,C10,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N2,,,0,0.55,0,,,14020,0,0930.NTC-3,,Negative,Composite,,,,G6,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N1,,,0,0.53,0,,,14491,0,0930.NTC-3,,Negative,Composite,,,,C10,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N1,,,0.55,1.47,0.13,,,14020,3,0930.NTC-3,,Negative,Composite,,,,G6,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N2,,,0,0.59,0,,,12885,0,0930.NTC-4,,Negative,Composite,,,,D10,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N2,,,0.24,1.14,0,,,10860,1,0930.NTC-4,,Negative,Composite,,,,H6,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N1,,,0,0.59,0,,,12885,0,0930.NTC-4,,Negative,Composite,,,,D10,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N1,,,0,0.7,0,,,10860,0,0930.NTC-4,,Negative,Composite,,,,H6,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N2,,,0,0.57,0,,,13358,0,0930.NTC-5,,Negative,Composite,,,,E10,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N1,,,0,0.57,0,,,13358,0,0930.NTC-5,,Negative,Composite,,,,E10,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N2,,,0,1.63,0,,,4755,0,0930.NTC-6,,Negative,Composite,,,,F10,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N1,,,0,1.63,0,,,4755,0,0930.NTC-6,,Negative,Composite,,,,F10,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N2,,,0,0.57,0,,,13481,0,0930.NTC-7,,Negative,Composite,,,,G10,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N1,,,0,0.57,0,,,13481,0,0930.NTC-7,,Negative,Composite,,,,G10,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N2,,,0,0.57,0,,,13429,0,0930.NTC-8,,Negative,Composite,,,,H10,,
0930/NTC,NTC,09/30/21,R,SARS CoV-2 N1,,,0,0.57,0,,,13429,0,0930.NTC-8,,Negative,Composite,,,,H10,,
