Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
1004/Blank,Blank,10/04/21,R,SARS CoV-2 N2,,,0.18,0.81,0,,,15233,1,1004.Blank-1,,Negative,Composite,,,,C1,,
1004/Blank,Blank,10/04/21,R,SARS CoV-2 N1,,,0.33,1.08,0.04,,,15233,2,1004.Blank-1,,Negative,Composite,,,,C1,,
1004/Blank,Blank,10/04/21,R,SARS CoV-2 N2,,,0.33,1.08,0.04,,,15257,2,1004.Blank-2,,Negative,Composite,,,,D1,,
1004/Blank,Blank,10/04/21,R,SARS CoV-2 N1,,,0,0.51,0,,,15257,0,1004.Blank-2,,Negative,Composite,,,,D1,,
1004/DI,DI,10/04/21,R,SARS CoV-2 N2,,50,0.33,1.03,0.04,1100,,16035,2,1004.DI-1,2997.07,Negative,Composite,,,,A1,3446.67,146.67
1004/DI,DI,10/04/21,R,SARS CoV-2 N1,,50,0.15,0.77,0,513.33,,16035,1,1004.DI-1,3205.87,Negative,Composite,,,,A1,2566.67,0
1004/DI,DI,10/04/21,R,SARS CoV-2 N2,,50,0,0.46,0,0,,17171,0,1004.DI-2,2997.07,Negative,Composite,,,,B1,1540,0
1004/DI,DI,10/04/21,R,SARS CoV-2 N1,,50,0,0.46,0,0,,17171,0,1004.DI-2,3205.87,Negative,Composite,,,,B1,1540,0
1006/NTC,NTC,10/06/21,R,SARS CoV-2 N2,,,0.2,0.92,0,,,13486,1,1006.NTC-1,,Negative,Composite,,,,E10,,
1006/NTC,NTC,10/06/21,R,SARS CoV-2 N1,,,0.37,1.23,0.07,,,13486,2,1006.NTC-1,,Negative,Composite,,,,E10,,
1006/NTC,NTC,10/06/21,R,SARS CoV-2 N2,,,0,0.57,0,,,13658,0,1006.NTC-2,,Negative,Composite,,,,F10,,
