Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
1011/Blank,Blank,10/11/21,R,SARS CoV-2 N2,,,0,0.48,0,,,15781,0,1011.Blank-1,,Negative,Composite,,,,C1,,
1011/Blank,Blank,10/11/21,R,SARS CoV-2 N1,,,0,0.48,0,,,15781,0,1011.Blank-1,,Negative,Composite,,,,C1,,
1011/Blank,Blank,10/11/21,R,SARS CoV-2 N2,,,0,0.51,0,,,15480,0,1011.Blank-2,,Negative,Composite,,,,D1,,
1011/Blank,Blank,10/11/21,R,SARS CoV-2 N1,,,0,0.51,0,,,15480,0,1011.Blank-2,,Negative,Composite,,,,D1,,
1011/DI,DI,10/11/21,R,SARS CoV-2 N2,,50,0,0.57,0,0,,13516,0,1011.DI-1,1760,Negative,Composite,,,,A1,1906.67,0
1011/DI,DI,10/11/21,R,SARS CoV-2 N1,,50,0,0.57,0,0,,13516,0,1011.DI-1,2337.47,Negative,Composite,,,,A1,1906.67,0
1011/DI,DI,10/11/21,R,SARS CoV-2 N2,,50,0,0.51,0,0,,15544,0,1011.DI-2,1760,Negative,Composite,,,,B1,1686.67,0
1011/DI,DI,10/11/21,R,SARS CoV-2 N1,,50,0.18,0.79,0,586.67,,15544,1,1011.DI-2,2337.47,Negative,Composite,,,,B1,2640,0
1013/NTC,NTC,10/13/21,R,SARS CoV-2 N2,,,0,0.66,0,,,11603,0,1013.NTC-1,,Negative,Composite,,,,E10,,
1013/NTC,NTC,10/13/21,R,SARS CoV-2 N1,,,0,0.66,0,,,11603,0,1013.NTC-1,,Negative,Composite,,,,E10,,
1013/NTC,NTC,10/13/21,R,SARS CoV-2 N2,,,0,0.62,0,,,12630,0,1013.NTC-2,,Negative,Composite,,,,F10,,
1013/NTC,NTC,10/13/21,R,SARS CoV-2 N1,,,0,0.62,0,,,12630,0,1013.NTC-2,,Negative,Composite,,,,F10,,
1013/NTC,NTC,10/13/21,R,SARS CoV-2 N2,,,0,0.66,0,,,11756,0,1013.NTC-3,,Negative,Composite,,,,G10,,
1013/NTC,NTC,10/13/21,R,SARS CoV-2 N1,,,0,0.66,0,,,11756,0,1013.NTC-3,,Negative,Composite,,,,G10,,
1013/NTC,NTC,10/13/21,R,SARS CoV-2 N2,,,0,0.59,0,,,12838,0,1013.NTC-4,,Negative,Composite,,,,H10,,
1013/NTC,NTC,10/13/21,R,SARS CoV-2 N1,,,0.2,0.97,0,,,12838,1,1013.NTC-4,,Negative,Composite,,,,H10,,
Afton Village,AFVI,10/11/21,R,SARS CoV-2 N2,,50,11.66,14.96,9.02,38866.67,,13468,61,1011.AFVI-1,1760,Positive,Composite,,,,E1,49866.67,30066.67
Afton Village,AFVI,10/11/21,R,SARS CoV-2 N1,,50,12.32,15.62,9.46,41066.67,,13468,64,1011.AFVI-1,2337.47,Positive,Composite,,,,E1,52066.67,31533.33
Afton Village,AFVI,10/11/21,R,SARS CoV-2 N2,,50,10.56,13.64,8.14,35200,,13690,56,1011.AFVI-2,1760,Positive,Composite,,,,F1,45466.67,27133.33
Afton Village,AFVI,10/11/21,R,SARS CoV-2 N1,,50,13.86,17.38,11,46200,,13690,73,1011.AFVI-2,2337.47,Positive,Composite,,,,F1,57933.33,36666.67
Alief Central FN545,ALIEF,10/11/21,R,SARS CoV-2 N2,,50,17.82,21.78,14.3,59400,,12979,89,1011.ALIEF-1,1760,Positive,Composite,,,,G1,72600,47666.67
Alief Central FN545,ALIEF,10/11/21,R,SARS CoV-2 N1,,50,21.12,25.08,16.94,70400,,12979,105,1011.ALIEF-1,2337.47,Positive,Composite,,,,G1,83600,56466.67
Alief Central FN545,ALIEF,10/11/21,R,SARS CoV-2 N2,,50,12.1,15.18,9.68,40333.33,,16432,77,1011.ALIEF-2,1760,Positive,Composite,,,,H1,50600,32266.67
Alief Central FN545,ALIEF,10/11/21,R,SARS CoV-2 N1,,50,18.26,21.78,14.96,60866.67,,16432,116,1011.ALIEF-2,2337.47,Positive,Composite,,,,H1,72600,49866.67
Belle Park,BELL,10/11/21,R,SARS CoV-2 N2,,33,4.62,6.82,3.08,23333.33,,14878,27,1011.BELL-1,2666.67,Positive,Composite,,,,A2,34444.44,15555.56
Belle Park,BELL,10/11/21,R,SARS CoV-2 N1,,33,9.24,11.88,7.04,46666.67,,14878,53,1011.BELL-1,3541.62,Positive,Composite,,,,A2,60000,35555.56
Belle Park,BELL,10/11/21,R,SARS CoV-2 N2,,32,5.28,7.48,3.52,27500,,15205,31,1011.BELL-2,2750,Positive,Composite,,,,B2,38958.33,18333.33
Belle Park,BELL,10/11/21,R,SARS CoV-2 N1,,32,10.34,13.2,7.92,53854.17,,15205,61,1011.BELL-2,3652.29,Positive,Composite,,,,B2,68750,41250
Benavidez El,BENE,10/12/21,R,SARS CoV-2 N2,,50,3.52,5.28,2.2,11733.33,,16010,22,1012.BENE-1,1760,Positive,Composite,,,,G7,17600,7333.33
Benavidez El,BENE,10/12/21,R,SARS CoV-2 N1,,50,3.52,5.28,2.2,11733.33,,16010,22,1012.BENE-1,2337.47,Positive,Composite,,,,G7,17600,7333.33
Benavidez El,BENE,10/12/21,R,SARS CoV-2 N2,,50,3.3,4.84,1.98,11000,,16044,20,1012.BENE-2,1760,Positive,Composite,,,,H7,16133.33,6600
Benavidez El,BENE,10/12/21,R,SARS CoV-2 N1,,50,2.64,4.18,1.54,8800,,16044,17,1012.BENE-2,2337.47,Positive,Composite,,,,H7,13933.33,5133.33
Bintliff,BINT,10/11/21,R,SARS CoV-2 N2,,30,5.72,7.92,3.96,31777.78,,14927,33,1011.BINT-1,2933.33,Positive,Composite,,,,C2,44000,22000
Bintliff,BINT,10/11/21,R,SARS CoV-2 N1,,30,3.52,5.28,2.2,19555.56,,14927,20,1011.BINT-1,3895.78,Positive,Composite,,,,C2,29333.33,12222.22
Bintliff,BINT,10/11/21,R,SARS CoV-2 N2,,30,5.06,7.26,3.3,28111.11,,13331,26,1011.BINT-2,2933.33,Positive,Composite,,,,D2,40333.33,18333.33
Bintliff,BINT,10/11/21,R,SARS CoV-2 N1,,30,6.6,9.02,4.62,36666.67,,13331,34,1011.BINT-2,3895.78,Positive,Composite,,,,D2,50111.11,25666.67
Bissonnet  No. 4,BISS4,10/11/21,R,SARS CoV-2 N2,,50,6.16,8.58,4.4,20533.33,,14507,35,1011.BISS4-1,1760,Positive,Composite,,,,E2,28600,14666.67
Bissonnet  No. 4,BISS4,10/11/21,R,SARS CoV-2 N1,,50,11.88,14.96,9.24,39600,,14507,66,1011.BISS4-1,2337.47,Positive,Composite,,,,E2,49866.67,30800
Bissonnet  No. 4,BISS4,10/11/21,R,SARS CoV-2 N2,,50,17.38,21.12,14.08,57933.33,,13600,91,1011.BISS4-2,1760,Positive,Composite,,,,F2,70400,46933.33
Bissonnet  No. 4,BISS4,10/11/21,R,SARS CoV-2 N1,,50,25.52,29.7,21.12,85066.67,,13600,133,1011.BISS4-2,2337.47,Positive,Composite,,,,F2,99000,70400
Braeburn El,BRAE,10/12/21,R,SARS CoV-2 N2,,50,0,0.55,0,0,,14092,0,1012.BRAE-1,1760,Negative,Composite,,,,A8,1833.33,0
Braeburn El,BRAE,10/12/21,R,SARS CoV-2 N1,,50,0.37,1.17,0.07,1246.67,,14092,2,1012.BRAE-1,2337.47,Negative,Composite,,,,A8,3886.67,220
Braeburn El,BRAE,10/12/21,R,SARS CoV-2 N2,,50,0,0.51,0,0,,15301,0,1012.BRAE-2,1760,Negative,Composite,,,,B8,1686.67,0
Braeburn El,BRAE,10/12/21,R,SARS CoV-2 N1,,50,0.33,1.08,0.04,1100,,15301,2,1012.BRAE-2,2337.47,Negative,Composite,,,,B8,3593.33,146.67
Carvel,CARV,10/11/21,R,SARS CoV-2 N2,,50,5.94,8.14,4.18,19800,,15022,34,1011.CARV-1,1760,Positive,Composite,,,,G2,27133.33,13933.33
Carvel,CARV,10/11/21,R,SARS CoV-2 N1,,50,6.82,9.02,4.84,22733.33,,15022,39,1011.CARV-1,2337.47,Positive,Composite,,,,G2,30066.67,16133.33
Carvel,CARV,10/11/21,R,SARS CoV-2 N2,,50,6.16,8.36,4.18,20533.33,,14410,34,1011.CARV-2,1760,Positive,Composite,,,,H2,27866.67,13933.33
Carvel,CARV,10/11/21,R,SARS CoV-2 N1,,50,7.48,9.9,5.28,24933.33,,14410,41,1011.CARV-2,2337.47,Positive,Composite,,,,H2,33000,17600
Challenge Early College H S,CHLS,10/12/21,R,SARS CoV-2 N2,,50,1.45,2.73,0.66,4840,,14226,8,1012.CHLS-1,1760,Positive,Composite,,,,C8,9093.33,2200
Challenge Early College H S,CHLS,10/12/21,R,SARS CoV-2 N1,,50,1.28,2.49,0.55,4253.33,,14226,7,1012.CHLS-1,2337.47,Positive,Composite,,,,C8,8286.67,1833.33
Challenge Early College H S,CHLS,10/12/21,R,SARS CoV-2 N2,,50,1.3,2.53,0.55,4326.67,,13935,7,1012.CHLS-2,1760,Positive,Composite,,,,D8,8433.33,1833.33
Challenge Early College H S,CHLS,10/12/21,R,SARS CoV-2 N1,,50,1.12,2.29,0.44,3740,,13935,6,1012.CHLS-2,2337.47,Positive,Composite,,,,D8,7626.67,1466.67
Cherry oak,CHER,10/11/21,R,SARS CoV-2 N2,,50,122.1,132.22,112.2,407000,,12620,582,1011.CHER-1,1760,Positive,Composite,,,,A3,440733.33,374000
Cherry oak,CHER,10/11/21,R,SARS CoV-2 N1,,50,165,176,151.8,550000,,12620,775,1011.CHER-1,2337.47,Positive,Composite,,,,A3,586666.67,506000
Cherry oak,CHER,10/11/21,R,SARS CoV-2 N2,,50,117.92,127.16,108.46,393066.67,,13748,612,1011.CHER-2,1760,Positive,Composite,,,,B3,423866.67,361533.33
Cherry oak,CHER,10/11/21,R,SARS CoV-2 N1,,50,139.92,150.26,129.8,466400,,13748,724,1011.CHER-2,2337.47,Positive,Composite,,,,B3,500866.67,432666.67
Chimney Rock No.2,CHIM2,10/11/21,R,SARS CoV-2 N2,,50,1.12,2.29,0.44,3740,,13866,6,1011.CHIM2-1,1760,Positive,Composite,,,,C3,7626.67,1466.67
Chimney Rock No.2,CHIM2,10/11/21,R,SARS CoV-2 N1,,50,1.3,2.55,0.55,4326.67,,13866,7,1011.CHIM2-1,2337.47,Positive,Composite,,,,C3,8506.67,1833.33
Chimney Rock No.2,CHIM2,10/11/21,R,SARS CoV-2 N2,,50,1.76,3.3,0.88,5866.67,,12969,9,1011.CHIM2-2,1760,Positive,Composite,,,,D3,11000,2933.33
Chimney Rock No.2,CHIM2,10/11/21,R,SARS CoV-2 N1,,50,1.41,2.73,0.59,4693.33,,12969,7,1011.CHIM2-2,2337.47,Positive,Composite,,,,D3,9093.33,1980
COOK RD.,COOK,10/11/21,R,SARS CoV-2 N2,,50,86.24,94.38,78.32,287466.67,,13716,450,1011.COOK-1,1760,Positive,Composite,,,,E3,314600,261066.67
COOK RD.,COOK,10/11/21,R,SARS CoV-2 N1,,50,115.06,124.3,105.82,383533.33,,13716,596,1011.COOK-1,2337.47,Positive,Composite,,,,E3,414333.33,352733.33
COOK RD.,COOK,10/11/21,R,SARS CoV-2 N2,,50,86.68,94.6,78.98,288933.33,,14770,487,1011.COOK-2,1760,Positive,Composite,,,,F3,315333.33,263266.67
COOK RD.,COOK,10/11/21,R,SARS CoV-2 N1,,50,118.58,127.82,109.56,395266.67,,14770,662,1011.COOK-2,2337.47,Positive,Composite,,,,F3,426066.67,365200
Cunningham El,CUNE,10/12/21,R,SARS CoV-2 N2,,50,0,0.59,0,0,,12957,0,1012.CUNE-1,1760,Negative,Composite,,,,E8,1980,0
Cunningham El,CUNE,10/12/21,R,SARS CoV-2 N1,,50,0,0.59,0,0,,12957,0,1012.CUNE-1,2337.47,Negative,Composite,,,,E8,1980,0
