Facility,WWTP,Date,Lab,Target_Name,Received_WW_vol,Filtered_WW_vol,Copies_per_uL_RNA,PoissonConfMax_per_uL_RNA,PoissonConfMin_per_uL_RNA,Copies_Per_Liter_WW,Ct,AcceptedDroplets,PositiveDroplets,Sample_ID,Detection_Limit,Positivity,Sample_Type,Surrogate_virus_input_per.L.WW,Percentage_recovery_BCoV,Comments,Well Position,PoissonConfMax_Per_Liter_WW,PoissonConfMin_Per_Liter_WW
1013/Blank,Blank,10/13/21,R,SARS CoV-2 N2,,,0,0.53,0,,,14413,0,1013.Blank-1,,Negative,Composite,,,,C1,,
1013/Blank,Blank,10/13/21,R,SARS CoV-2 N1,,,0.18,0.86,0,,,14413,1,1013.Blank-1,,Negative,Composite,,,,C1,,
1013/Blank,Blank,10/13/21,R,SARS CoV-2 N2,,,0,0.57,0,,,13438,0,1013.Blank-2,,Negative,Composite,,,,D1,,
1013/Blank,Blank,10/13/21,R,SARS CoV-2 N1,,,0,0.57,0,,,13438,0,1013.Blank-2,,Negative,Composite,,,,D1,,
1013/DI,DI,10/13/21,R,SARS CoV-2 N2,,50,0,0.64,0,0,,11988,0,1013.DI-1,2333.33,Negative,Composite,,,,A1,2126.67,0
1013/DI,DI,10/13/21,R,SARS CoV-2 N1,,50,0.22,1.03,0,733.33,,11988,1,1013.DI-1,2952.65,Negative,Composite,,,,A1,3446.67,0
1013/DI,DI,10/13/21,R,SARS CoV-2 N2,,50,0,0.59,0,0,,13117,0,1013.DI-2,2333.33,Negative,Composite,,,,B1,1980,0
1013/DI,DI,10/13/21,R,SARS CoV-2 N1,,50,0.2,0.95,0,660,,13117,1,1013.DI-2,2952.65,Negative,Composite,,,,B1,3153.33,0
1014/gstdFluAB,gstdFluAB,10/14/21,R,Influenza-B,,,1.78,2.99,0.95,,,17504,12,1014.gstdFluAB-1,,Positive,Composite,,,,G9,,
1014/gstdFluAB,gstdFluAB,10/14/21,R,Influenza-A,,,1.91,3.17,1.06,,,17504,13,1014.gstdFluAB-1,,Positive,Composite,,,,G9,,
1014/gstdFluAB,gstdFluAB,10/14/21,R,Influenza-B,,,1.98,3.52,1.1,,,15115,12,1014.gstdFluAB-2,,Positive,Composite,,,,H9,,
1014/gstdFluAB,gstdFluAB,10/14/21,R,Influenza-A,,,2.64,4.18,1.54,,,15115,15,1014.gstdFluAB-2,,Positive,Composite,,,,H9,,
1014/NTC,NTC,10/14/21,R,Influenza-B,,,0,0.59,0,,,13154,0,1014.NTC-1,,Negative,Composite,,,,A10,,
