Facility,WWTP,Date,Lab,Target_Name,Copies_Per_Liter_WW,Sample_ID,Detection_Limit,Population,Sample_Type,No_of_Hours_Missed,flow
Alief Central FN545,ALIEF CENTRAL,3/9/2021,R,SARS CoV-2 N2,17600,0309.ALIEC-1,3776.7,11114,Composite,NA,
Alief Central FN545,ALIEF CENTRAL,3/9/2021,R,SARS CoV-2 N1,16866.67,0309.ALIEC-1,6576.25,11114,Composite,NA,
Alief Central FN545,ALIEF CENTRAL,3/9/2021,R,SARS CoV-2 N2,5500,0309.ALIEC-2,3776.7,11114,Composite,NA,
Alief Central FN545,ALIEF CENTRAL,3/9/2021,R,SARS CoV-2 N1,11733.33,0309.ALIEC-2,6576.25,11114,Composite,NA,
Richmond Ave No.1 FN349,RICHMOND AVE#1,3/9/2021,R,SARS CoV-2 N2,67466.67,0309.RICH1-1,3776.7,14857,Composite,NA,
Richmond Ave No.1 FN349,RICHMOND AVE#1,3/9/2021,R,SARS CoV-2 N1,71866.67,0309.RICH1-1,6576.25,14857,Composite,NA,
Richmond Ave No.1 FN349,RICHMOND AVE#1,3/9/2021,R,SARS CoV-2 N2,66000,0309.RICH1-2,3776.7,14857,Composite,NA,
Richmond Ave No.1 FN349,RICHMOND AVE#1,3/9/2021,R,SARS CoV-2 N1,69666.67,0309.RICH1-2,6576.25,14857,Composite,NA,
S. Post Oak No. 1,POST OAK#1,3/9/2021,R,SARS CoV-2 N2,93866.67,0309.SPOL-1,3776.7,8412,Composite,NA,
S. Post Oak No. 1,POST OAK#1,3/9/2021,R,SARS CoV-2 N1,145933.33,0309.SPOL-1,6576.25,8412,Composite,NA,
S. Post Oak No. 1,POST OAK#1,3/9/2021,R,SARS CoV-2 N2,56466.67,0309.SPOL-2,3776.7,8412,Composite,NA,
S. Post Oak No. 1,POST OAK#1,3/9/2021,R,SARS CoV-2 N1,57933.33,0309.SPOL-2,6576.25,8412,Composite,NA,
Stella Link FN575,STELLALINK,3/9/2021,R,SARS CoV-2 N2,15400,0309.STEL-1,3776.7,5673,Composite,NA,
Stella Link FN575,STELLALINK,3/9/2021,R,SARS CoV-2 N1,15400,0309.STEL-1,6576.25,5673,Composite,NA,
Stella Link FN575,STELLALINK,3/9/2021,R,SARS CoV-2 N2,20533.33,0309.STEL-2,3776.7,5673,Composite,NA,
Stella Link FN575,STELLALINK,3/9/2021,R,SARS CoV-2 N1,22000,0309.STEL-2,6576.25,5673,Composite,NA,
Westhollow Dr. FN297,WESTHOLLOW,3/9/2021,R,SARS CoV-2 N2,11000,0309.WESTH-1,3776.7,3171,Composite,NA,
Westhollow Dr. FN297,WESTHOLLOW,3/9/2021,R,SARS CoV-2 N1,15400,0309.WESTH-1,6576.25,3171,Composite,NA,
Westhollow Dr. FN297,WESTHOLLOW,3/9/2021,R,SARS CoV-2 N2,18333.33,0309.WESTH-2,3776.7,3171,Composite,NA,
Westhollow Dr. FN297,WESTHOLLOW,3/9/2021,R,SARS CoV-2 N1,13200,0309.WESTH-2,6576.25,3171,Composite,NA,
Ayreshire,AYRESHIRE,3/9/2021,R,SARS CoV-2 N2,7333.33,0309.AYRE-1,3776.7,6706,Composite,NA,
Ayreshire,AYRESHIRE,3/9/2021,R,SARS CoV-2 N1,9533.33,0309.AYRE-1,6576.25,6706,Composite,NA,
Ayreshire,AYRESHIRE,3/9/2021,R,SARS CoV-2 N2,2346.67,0309.AYRE-2,3776.7,6706,Composite,NA,
Ayreshire,AYRESHIRE,3/9/2021,R,SARS CoV-2 N1,3593.33,0309.AYRE-2,6576.25,6706,Composite,NA,
Bintliff,BINTLIFF,3/9/2021,R,SARS CoV-2 N2,40333.33,0309.BINT-1,3776.7,10644,Composite,NA,
Bintliff,BINTLIFF,3/9/2021,R,SARS CoV-2 N1,59400,0309.BINT-1,6576.25,10644,Composite,NA,
Bintliff,BINTLIFF,3/9/2021,R,SARS CoV-2 N2,35200,0309.BINT-2,3776.7,10644,Composite,NA,
Bintliff,BINTLIFF,3/9/2021,R,SARS CoV-2 N1,63800,0309.BINT-2,6576.25,10644,Composite,NA,
Carvel,CARVEL,3/9/2021,R,SARS CoV-2 N2,23466.67,0309.CARV-1,3776.7,20741,Composite,NA,
Carvel,CARVEL,3/9/2021,R,SARS CoV-2 N1,39600,0309.CARV-1,6576.25,20741,Composite,NA,
Carvel,CARVEL,3/9/2021,R,SARS CoV-2 N2,29333.33,0309.CARV-2,3776.7,20741,Composite,NA,
Carvel,CARVEL,3/9/2021,R,SARS CoV-2 N1,38133.33,0309.CARV-2,6576.25,20741,Composite,NA,
Fondren No.2,FONDREN#2,3/9/2021,R,SARS CoV-2 N2,11000,0309.FON2-1,3776.7,17237,Composite,NA,
Fondren No.2,FONDREN#2,3/9/2021,R,SARS CoV-2 N1,17600,0309.FON2-1,6576.25,17237,Composite,NA,
