Facility,WWTP,Date,Lab,Target_Name,Copies_Per_Liter_WW,Sample_ID,Detection_Limit,Population,Sample_Type,No_of_Hours_Missed,flow
69TH STREET,69TH STREET,6/22/2020,R,SARS CoV-2 N2,5217.391304,R008_003,330,551150,Composite,,60
69TH STREET,69TH STREET,6/22/2020,R,SARS CoV-2 N1,6521.73913,R008_003,330,551150,Composite,,60
ALMEDA SIMS,ALMEDA SIMS,6/22/2020,R,SARS CoV-2 N1,2608.695652,R008_006,330,117968,Composite,,33.848
ALMEDA SIMS,ALMEDA SIMS,6/22/2020,R,SARS CoV-2 N2,1956.521739,R008_006,330,117968,Composite,,33.848
BELTWAY,BELTWAY,6/22/2020,R,SARS CoV-2 N1,31521.73913,R008_009,330,70900,Composite,,7.47
BELTWAY,BELTWAY,6/22/2020,R,SARS CoV-2 N2,24565.21739,R008_009,330,70900,Composite,,7.47
CEDAR BAYOU,CEDAR BAYOU,6/22/2020,R,SARS CoV-2 N1,4782.608696,R008_012,330,1722,Composite,,1.118
CEDAR BAYOU,CEDAR BAYOU,6/22/2020,R,SARS CoV-2 N2,3260.869565,R008_012,330,1722,Composite,,1.118
CHOCOLATE BAYOU,CHOCOLATE BAYOU,6/22/2020,R,SARS CoV-2 N1,1956.521739,R008_015,330,37359,Composite,,12.05
CHOCOLATE BAYOU,CHOCOLATE BAYOU,6/22/2020,R,SARS CoV-2 N2,1521.73913,R008_015,330,37359,Composite,,12.05
CLINTON PARK,CLINTON PARK,6/22/2020,R,SARS CoV-2 N1,2391.304348,R008_018,330,3825,Composite,,2.77
CLINTON PARK,CLINTON PARK,6/22/2020,R,SARS CoV-2 N2,1586.956522,R008_018,330,3825,Composite,,2.77
CLINTON PARK,CLINTON PARK,6/22/2020,R,SARS CoV-2 N1,2391.304348,R008_017,330,3825,Composite,,2.77
CLINTON PARK,CLINTON PARK,6/22/2020,R,SARS CoV-2 N2,2608.695652,R008_017,330,3825,Composite,,2.77
EASTHAVEN,EASTHAVEN,6/22/2020,R,SARS CoV-2 N2,21956.52174,R008_020,330,16030,Composite,,3.455
EASTHAVEN,EASTHAVEN,6/22/2020,R,SARS CoV-2 N2,15869.56522,R008_021,330,16030,Composite,,3.455
EASTHAVEN,EASTHAVEN,6/22/2020,R,SARS CoV-2 N1,20869.56522,R008_021,330,16030,Composite,,3.455
EASTHAVEN,EASTHAVEN,6/22/2020,R,SARS CoV-2 N1,26956.52174,R008_020,330,16030,Composite,,3.455
FOREST COVE,FOREST COVE,6/22/2020,R,SARS CoV-2 N2,5869.565217,R008_024,330,4170,Composite,,0.471
