Sample_name,assay_variable,Copy #,Positives,Negatives,Accepted Droplets,Label_tube,Tube ID,biological_replicates,Target,Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,template_vol,ExptType,FractionalAbundance,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,CT
PEG,DI,,0,9473,9473,PEGDI3,DI3,3,N2_multiplex,CHECK,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,,,,,,0,0,2,9471,0,,,,,,,,2232.203369,,,,,,,,,,,,,,0,1819.722149,1819.722149,Rare Event Detection Experiment,,,,,,,,,,,,,,,,,,9.09090909090909,,,,,,,,,,,,
PEG,DI,,2,9471,9473,PEGDI3,DI3,3,N1_multiplex,CHECK,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,VIC,,,,,,0,0,2,9471,0,,,,,,,,1122.75769,,,,,,,,,,,,,,6136.684814,805.2467201,806.3723272,Rare Event Detection Experiment,,,,,,,,,,,,,,,,,,9.09090909090909,,,,,,,,,,,,
PEG,DI,3.69461383775,7,12256,12263,PEGDI3,DI3,3,BCoV2,OK,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,13.43495941,,,1.308535218,0.2853500545,0,0,0,0,,,,,,,,,3110.88208,,,,,,,,,,,,,,7266.328544,2749.353748,2751.93214,Rare Event Detection Experiment,,,,0.960909605,0.4474374652,,,,,,,,,,,,,3.63636363636364,,,,,,,,,,,,
NTC,NTC,0.19274194841,1,13428,13429,NTC0,0,"",N2_multiplex,OK,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,1.752199531,,,0.4184841216,0.003679487854,1,0,1,13427,0.08760997437,,,,,,,,2226.029785,,,N1,0.4999813764,,,1.90820918,0,33.33250561,,,95.92196218,0,11991.80664,1826.163024,1826.920016,Rare Event Detection Experiment,,,,0.2180733383,0.02374165878,,,,,,,1.167800485,0,,,63.01409189,3.650919318,9.09090909090909,,,,,,,,,,,,
NTC,NTC,0.38549824236,2,13427,13429,NTC0,0,"",N1_multiplex,OK,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,VIC,3.504529476,,,0.5613425374,0.0265451353,1,0,1,13427,0.08760997437,,,,,,,,1160.997681,,,,,,,,,,,,,,3944.275818,859.936796,860.396151,Rare Event Detection Experiment,,,,0.3368960321,0.07604508102,,,,,,,,,,,,,9.09090909090909,,,,,,,,,,,,
NTC,NTC,2.74724600315,5,11774,11779,NTC0,0,"",BCoV2,OK,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,9.989985466,,,1.085682273,0.1755997688,0,0,0,0,,,,,,,,,3058.284424,,,,,,,,,,,,,,5092.309668,2710.056047,2711.067277,Rare Event Detection Experiment,,,,0.7608218789,0.3062677979,,,,,,,,,,,,,3.63636363636364,,,,,,,,,,,,
NTC,NTC,0.2139656365,1,12096,12097,NTC0,0,"",N2_multiplex,OK,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,1.94514215,,,0.4645724595,0.004084636923,0,1,4,12092,0,,,,,,,,2262.465332,,,N1,0.2499689971,,,0.8951516173,0,19.99801577,,,61.29175179,0,12179.15234,1848.306113,1849.160113,Rare Event Detection Experiment,,,,0.2420878559,0.02635588124,,,,,,,0.5552786536,0,,,39.53880308,0.4572284527,9.09090909090909,,,,,,,,,,,,
NTC,NTC,0.85596870898,4,12093,12097,NTC0,0,"",N1_multiplex,OK,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,VIC,7.781533718,,,0.9175515175,0.1173903346,0,1,4,12092,0,,,,,,,,1174.842163,,,,,,,,,,,,,,6720.158813,870.4346595,872.3689322,Rare Event Detection Experiment,,,,0.621514082,0.2234115452,,,,,,,,,,,,,9.09090909090909,,,,,,,,,,,,
NTC,NTC,3.05762414925,7,14810,14817,NTC0,0,"",BCoV2,OK,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,11.11863327,,,1.082879663,0.2361594588,0,0,0,0,,,,,,,,,3008.811279,,,,,,,,,,,,,,4415.273891,2716.020835,2716.823614,Rare Event Detection Experiment,,,,0.795222044,0.37030074,,,,,,,,,,,,,3.63636363636364,,,,,,,,,,,,
PEG,DI,0.18112846609,1,14289,14290,PEGDI1,DI1,1,N2_multiplex,OK,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,1.646622419,,,0.3932653964,0.003457791405,1,0,8,14281,0.08233112175,,,,,,,,2288.002441,,,N1,0.1110800073,,,0.384298035,0,9.997480521,,,32.12937984,0,11090.85938,1896.737404,1897.3808,Rare Event Detection Experiment,,,,0.2049328536,0.02231116593,,,,,,,0.23979599099999999,0,,,20.42405894,0,9.09090909090909,,,,,,,,,,,,
PEG,DI,1.6306126595,9,14281,14290,PEGDI1,DI1,1,N1_multiplex,OK,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,VIC,14.82375145,,,1.343046069,0.353405863,1,0,8,14281,0.08233112175,,,,,,,,1151.618652,,,,,,,,,,,,,,5320.613987,851.6967851,854.5113586,Rare Event Detection Experiment,,,,1.017687798,0.5200177431,,,,,,,,,,,,,9.09090909090909,,,,,,,,,,,,
NTC,NTC,0.20624210596,1,12549,12550,NTC0,0,"",N2_multiplex,OK,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,1.874928236,,,0.4478002191,0.00393719878,1,0,8,12541,0.09374640557,,,,,,,,2242.388428,,,N1,0.1110756879,,,0.3842889124,0,9.997130631,,,32.12881294,0,12003.54102,1840.160955,1840.970786,Rare Event Detection Experiment,,,,0.2333486676,0.02540453896,,,,,,,0.2397881773,0,,,20.42350706,0,9.09090909090909,,,,,,,,,,,,
NTC,NTC,1.8567707444,9,12541,12550,NTC0,0,"",N1_multiplex,OK,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,VIC,16.87973404,,,1.529374361,0.4024123549,1,0,8,12541,0.09374640557,,,,,,,,1161.360596,,,,,,,,,,,,,,6152.218411,863.7332132,867.5257524,Rare Event Detection Experiment,,,,1.158855081,0.5921339989,,,,,,,,,,,,,9.09090909090909,,,,,,,,,,,,
PEG,DI,,0,12535,12535,PEGDI1,DI1,1,BCoV2,CHECK,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,2753.875023,2753.875023,Rare Event Detection Experiment,,,,,,,,,,,,,,,,,,3.63636363636364,,,,,,,,,,,,
NTC,NTC,,0,13609,13609,NTC0,0,"",BCoV2,CHECK,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,2759.837853,2759.837853,Rare Event Detection Experiment,,,,,,,,,,,,,,,,,,3.63636363636364,,,,,,,,,,,,
PEG,DI,0.50754685399,3,15297,15300,PEGDI2,DI2,2,N2_multiplex,OK,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,FAM,4.614062309,,,0.6115391254,0.05474944785,0,3,4,15293,0,,,,,,,,2294.291016,,,N1,0.7499754162,,,1.938970025,0,42.85634011,,,81.68174469,4.030935525,10601.90397,1897.75396,1899.460657,Rare Event Detection Experiment,,,,0.3949913383,0.1198830754,,,,,,,1.339177881,0.1607729515,,,62.09614482,23.6165354,9.09090909090909,,,,,,,,,,,,
PEG,DI,0.67675130842,4,15296,15300,PEGDI2,DI2,2,N1_multiplex,OK,DQ,Unknown,Unknown,One-Step RT-ddPCR Kit for Probes,VIC,6.152284622,,,0.7254061699,0.09281411767,0,3,4,15293,0,,,,,,,,,,,,,,,,,,,,,,6767.217651,855.6184021,857.1639182,Rare Event Detection Experiment,,,,0.4913751781,0.1766376346,,,,,,,,,,,,,9.09090909090909,,,,,,,,,,,,
